QA ID,Candidate ID,Packet ID,Assembly ID,Working Document Slot,Chronology ID,Decision ID,Citation ID,Episode IDs,Evidence Role,Source Pull Plan IDs,Request IDs,Desk Gate Plan IDs,Repository,Record Group Or Collection,Source Locator,Date,Title,Source Copy Receipt Status,Source Copy Location,Suggested Source Folder,Suggested File Stem,Image Completeness Check,Page Order Check,Reverse Side Check,Enclosures Captured,Routing And Marginalia Captured,Legibility Check,OCR Status,Transcript Status,Translation Needed,Citation Fields Remaining,Authority Check,Duplicate Proof Check,Boundary Check,Episode Evidence Check,Promotion Readiness,QA Exit Criteria,Next QA Action,Reviewer,QA Date,Notes
QA-011,DOC50-030,PKT-030,ASM-011,WDS-011,CHR-011,SEL-030,CITE-011,EPI-003; EPI-004,EPI-003: Implementation; EPI-004: Implementation,TRIP-004,PULL-004,TRIP-011; TRIP-012,NARA,RG 208,NAID 4732413,October 1943-September 1945,Special Guidances-Moscow Cables on Directives,Awaiting request or source copy,"",BLOCK-02 - PULL-004 - RG 208 special guidances London-Moscow cables OWI-OSS and PWE crosswalk,WDS-011_DOC50-030_Special-Guidances-Moscow-Cables-on-Directives,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",series and file-unit confirmation; box and folder; exact item image or page range; author and recipient where present; classification/routing stamps; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-003: Implementation; EPI-004: Implementation.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-004, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-012,DOC50-050,PKT-050,ASM-012,WDS-012,CHR-012,SEL-050,CITE-012,EPI-010,EPI-010: Policy,TRIP-007,PULL-007,TRIP-011; TRIP-012,NARA,RG 229,NAID 2102898,1941-1943,Radio Division Reports and Issuances,Awaiting request or source copy,"",BLOCK-04 - PULL-007 - Latin America post files plus RG 229 radio reaction,WDS-012_DOC50-050_Radio-Division-Reports-and-Issuances,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",series and file-unit confirmation; box and folder; exact item image or page range; author and recipient where present; classification/routing stamps; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-010: Policy.,Itemize file-unit source copy before selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-007, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-013,DOC50-032,PKT-032,ASM-013,WDS-013,CHR-013,SEL-032,CITE-013,EPI-003,EPI-003: Policy; EPI-003: Boundary/context,TRIP-004; TRIP-005,PULL-004; PULL-005,TRIP-011; TRIP-012,NARA,RG 208,NAID 4732424,January-December 1944,Political Warfare Executive Central Directives,Awaiting request or source copy,"",BLOCK-02 - PULL-004 - RG 208 special guidances London-Moscow cables OWI-OSS and PWE crosswalk,WDS-013_DOC50-032_Political-Warfare-Executive-Central-Directives,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",series and file-unit confirmation; box and folder; exact item image or page range; author and recipient where present; classification/routing stamps; final duplicate ruling; selection rationale; evidence cross-reference,Check authority rows for Political Warfare Executive and any additional authors/recipients in the source copy.,Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-003: Policy; EPI-003: Boundary/context.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-004; PULL-005, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-014,DOC50-038,PKT-038,ASM-014,WDS-014,CHR-014,SEL-038,CITE-014,EPI-006,EPI-006: Boundary/context,TRIP-006; TRIP-010,PULL-006; PULL-010,TRIP-011; TRIP-012,NARA,RG 165,NAID 2149198,1944-1945,Weekly Propaganda Directive Office of War Information Sweden,Awaiting request or source copy,"",BLOCK-03 - PULL-006 - Neutral Europe post-file sweep,WDS-014_DOC50-038_Weekly-Propaganda-Directive-Office-of-War-Information-Sweden,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",series and file-unit confirmation; box and folder; exact item image or page range; author and recipient where present; classification/routing stamps; final duplicate ruling; selection rationale; evidence cross-reference,Check authority rows for Office of War Information and any additional authors/recipients in the source copy.,Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary review required,Confirm episode role(s): EPI-006: Boundary/context.,Boundary review before promotion; do not advance until foreign-policy significance is proven.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-006; PULL-010, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-015,DOC50-039,PKT-039,ASM-015,WDS-015,CHR-015,SEL-039,CITE-015,EPI-006,EPI-006: Boundary/context,TRIP-006; TRIP-010,PULL-006; PULL-010,TRIP-011; TRIP-012,NARA,RG 165,NAID 2149195,1944-1945,Weekly Propaganda Directive Office of War Information Iberia,Awaiting request or source copy,"",BLOCK-03 - PULL-006 - Neutral Europe post-file sweep,WDS-015_DOC50-039_Weekly-Propaganda-Directive-Office-of-War-Information-Iberia,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",series and file-unit confirmation; box and folder; exact item image or page range; author and recipient where present; classification/routing stamps; final duplicate ruling; selection rationale; evidence cross-reference,Check authority rows for Office of War Information and any additional authors/recipients in the source copy.,Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary review required,Confirm episode role(s): EPI-006: Boundary/context.,Boundary review before promotion; do not advance until foreign-policy significance is proven.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-006; PULL-010, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-016,DOC50-040,PKT-040,ASM-016,WDS-016,CHR-016,SEL-040,CITE-016,EPI-006,EPI-006: Boundary/context,TRIP-010,PULL-010,TRIP-011; TRIP-012,NARA,RG 165,NAID 2149196,1944-1945,"Weekly Propaganda Directive Office of War Information Norway, Netherlands, Middle East",Awaiting request or source copy,"",BLOCK-06 - PULL-010 - RG 165 weekly propaganda directive boundary batch,WDS-016_DOC50-040_Weekly-Propaganda-Directive-Office-of-War-Information-Norway,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",series and file-unit confirmation; box and folder; exact item image or page range; author and recipient where present; classification/routing stamps; final duplicate ruling; selection rationale; evidence cross-reference,Check authority rows for Office of War Information and any additional authors/recipients in the source copy.,Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary review required,Confirm episode role(s): EPI-006: Boundary/context.,Boundary review before promotion; do not advance until foreign-policy significance is proven.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-010, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-017,DOC50-033,PKT-033,ASM-017,WDS-017,CHR-017,SEL-033,CITE-017,EPI-003; EPI-007; EPI-008,EPI-003: Policy; EPI-007: Policy; EPI-008: Policy,TRIP-004,PULL-004,TRIP-011; TRIP-012,NARA,RG 208,NAID 4732319,May-June 1944,Central Directives-May-June 1944,Awaiting request or source copy,"",BLOCK-02 - PULL-004 - RG 208 special guidances London-Moscow cables OWI-OSS and PWE crosswalk,WDS-017_DOC50-033_Central-Directives-May-June-1944,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",series and file-unit confirmation; box and folder; exact item image or page range; author and recipient where present; classification/routing stamps; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-003: Policy; EPI-007: Policy; EPI-008: Policy.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-004, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-018,DOC50-036,PKT-036,ASM-018,WDS-018,CHR-018,SEL-036,CITE-018,EPI-005,EPI-005: Implementation; EPI-005: Boundary/context,TRIP-010,PULL-010,TRIP-011; TRIP-012,NARA,RG 165,NAID 2149194,"June 30, 1944",Weekly Propaganda Directive Office of War Information Germany,Awaiting request or source copy,"",BLOCK-06 - PULL-010 - RG 165 weekly propaganda directive boundary batch,WDS-018_DOC50-036_Weekly-Propaganda-Directive-Office-of-War-Information-Germany,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",series and file-unit confirmation; box and folder; exact item image or page range; author and recipient where present; classification/routing stamps; final duplicate ruling; selection rationale; evidence cross-reference,Check authority rows for Office of War Information and any additional authors/recipients in the source copy.,Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary review required,Confirm episode role(s): EPI-005: Implementation; EPI-005: Boundary/context.,Boundary review before promotion; do not advance until foreign-policy significance is proven.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-010, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-019,DOC50-029,PKT-029,ASM-019,WDS-019,CHR-019,SEL-029,CITE-019,EPI-003; EPI-006; EPI-007,EPI-003: Implementation; EPI-006: Policy; EPI-007: Policy,TRIP-004; TRIP-005,PULL-004; PULL-005,TRIP-011; TRIP-012,NARA,RG 208,NAID 4732414,July 1944-February 1945,Special Guidances-London Policy Directives,Awaiting request or source copy,"",BLOCK-02 - PULL-004 - RG 208 special guidances London-Moscow cables OWI-OSS and PWE crosswalk,WDS-019_DOC50-029_Special-Guidances-London-Policy-Directives,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",series and file-unit confirmation; box and folder; exact item image or page range; author and recipient where present; classification/routing stamps; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-003: Implementation; EPI-006: Policy; EPI-007: Policy.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-004; PULL-005, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-020,DOC50-010,PKT-010,ASM-020,WDS-020,CHR-020,SEL-010,CITE-020,EPI-007,EPI-007: Implementation,TRIP-001,PULL-001,TRIP-011; TRIP-012,NARA,RG 59,"103.9166/7-844; M973 roll 607, image 0500","July 8, 1944",The Iceland Outpost: Analysis of an Informational Operation,Awaiting request or source copy,"",BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch,WDS-020_DOC50-010_The-Iceland-Outpost-Analysis-of-an-Informational-Operation,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",underlying Central Decimal File source copy; author/post and recipient; classification/routing stamps; enclosure status; final item image or page range; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-007: Implementation.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-001, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-021,DOC50-011,PKT-011,ASM-021,WDS-021,CHR-021,SEL-011,CITE-021,EPI-006,EPI-006: Implementation,TRIP-001; TRIP-006,PULL-001; PULL-006,TRIP-011; TRIP-012,NARA,RG 59,"103.9166/7-944; M973 roll 607, image 0500","July 9, 1944",Switzerland telegram carrying OWI message on prewar Bern-Rome communications,Awaiting request or source copy,"",BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch,WDS-021_DOC50-011_Switzerland-telegram-carrying-OWI-message-on-prewar-Bern-Rome,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",underlying Central Decimal File source copy; author/post and recipient; classification/routing stamps; enclosure status; final item image or page range; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-006: Implementation.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-001; PULL-006, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-022,DOC50-009,PKT-009,ASM-022,WDS-022,CHR-022,SEL-009,CITE-022,EPI-008,EPI-008: Implementation,TRIP-001,PULL-001,TRIP-011; TRIP-012,NARA,RG 59,"103.9166/7-1044; M973 roll 607, image 0500","July 10, 1944",Dakar telegram to Motion Picture Radio Division advising United Newsreel 108 arrived,Awaiting request or source copy,"",BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch,WDS-022_DOC50-009_Dakar-telegram-to-Motion-Picture-Radio-Division-advising,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",underlying Central Decimal File source copy; author/post and recipient; classification/routing stamps; enclosure status; final item image or page range; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-008: Implementation.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-001, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-023,DOC50-012,PKT-012,ASM-023,WDS-023,CHR-023,SEL-012,CITE-023,EPI-007,EPI-007: Implementation,TRIP-001; TRIP-005,PULL-001; PULL-005,TRIP-011; TRIP-012,NARA,RG 59,"103.9166/8-844; M973 roll 607, image 0550","August 8, 1944",Manchester dispatch enclosing notices on the OWI Information Center Unit,Awaiting request or source copy,"",BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch,WDS-023_DOC50-012_Manchester-dispatch-enclosing-notices-on-the-OWI-Information,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",underlying Central Decimal File source copy; author/post and recipient; classification/routing stamps; enclosure status; final item image or page range; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-007: Implementation.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-001; PULL-005, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-024,DOC50-013,PKT-013,ASM-024,WDS-024,CHR-024,SEL-013,CITE-024,EPI-007,EPI-007: Implementation,TRIP-001; TRIP-005,PULL-001; PULL-005,TRIP-011; TRIP-012,NARA,RG 59,"103.9166/8-844; M973 roll 607, image 0550","August 8, 1944","Manchester Press Attache report for the week ending August 5, 1944",Awaiting request or source copy,"",BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch,WDS-024_DOC50-013_Manchester-Press-Attache-report-for-the-week-ending,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",underlying Central Decimal File source copy; author/post and recipient; classification/routing stamps; enclosure status; final item image or page range; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-007: Implementation.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-001; PULL-005, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-025,DOC50-034,PKT-034,ASM-025,WDS-025,CHR-025,SEL-034,CITE-025,EPI-003; EPI-006; EPI-008,EPI-003: Policy; EPI-006: Policy; EPI-008: Policy,TRIP-004,PULL-004,TRIP-011; TRIP-012,NARA,RG 208,NAID 4732351,September 1944,Regional Directives-September 1944,Awaiting request or source copy,"",BLOCK-02 - PULL-004 - RG 208 special guidances London-Moscow cables OWI-OSS and PWE crosswalk,WDS-025_DOC50-034_Regional-Directives-September-1944,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",series and file-unit confirmation; box and folder; exact item image or page range; author and recipient where present; classification/routing stamps; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-003: Policy; EPI-006: Policy; EPI-008: Policy.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-004, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-026,DOC50-014,PKT-014,ASM-026,WDS-026,CHR-026,SEL-014,CITE-026,EPI-006,EPI-006: Implementation,TRIP-001,PULL-001,TRIP-011; TRIP-012,NARA,RG 59,"103.9166/9-244; M973 roll 607, image 0600","September 2, 1944",Naples telegram on the present state of OWI thinking with regard to Balkan affairs,Awaiting request or source copy,"",BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch,WDS-026_DOC50-014_Naples-telegram-on-the-present-state-of-OWI,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",underlying Central Decimal File source copy; author/post and recipient; classification/routing stamps; enclosure status; final item image or page range; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-006: Implementation.,"Priority review after source-copy QA clears citation, duplicate, authority, evidence, and boundary gates.","all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-001, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-027,DOC50-015,PKT-015,ASM-027,WDS-027,CHR-027,SEL-015,CITE-027,EPI-006,EPI-006: Implementation,TRIP-001; TRIP-006,PULL-001; PULL-006,TRIP-011; TRIP-012,NARA,RG 59,"103.9166/9-244; M973 roll 607, image 0600","September 2, 1944",Switzerland telegram submitting suggestions for Allied propaganda for Italy,Awaiting request or source copy,"",BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch,WDS-027_DOC50-015_Switzerland-telegram-submitting-suggestions-for-Allied-propaganda-for,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",underlying Central Decimal File source copy; author/post and recipient; classification/routing stamps; enclosure status; final item image or page range; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-006: Implementation.,"Priority review after source-copy QA clears citation, duplicate, authority, evidence, and boundary gates.","all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-001; PULL-006, run receipt QA, update citation fields, then decide promotion readiness.","","",""
