Scorecard ID,Candidate ID,Working Document Slot,Chapter Number,Chapter Title,Chapter Slot,Date,Title,Lane,Editorial Role,Priority,Work Priority Score,Final Readiness Score,Readiness Tier,Open Gate Count,Open Gates,Main Blocker,Compiler Queue Rank,Earliest Useful Action,Next 30 Minute Task,Next Archive Task,Next Desk Task,Source Copy Status,Receipt QA Status,Duplicate Status,Citation Status,Selection Status,Boundary Status,Annotation Status,Promotion Recommendation,Annotation Type,Episode IDs,Episode Titles,Episode Promotion Tests,Cross References To Other Candidates,Repository,Record Group Or Collection,Source Locator,Suggested Source Folder,Related Pull Sheets,Related Docket,Request Work Blocks,Catalog URL,FRUS Search URL,Reviewer,Review Date,Notes
READY-011,DOC50-025,WDS-045,5,"Peace Aims, Occupation Guidance, and State Handoff",CH5-S01,"February 23, 1945",Long-Range Policy Guidance-Poland,Peace Aims and Handoff,Policy guidance,High,41,10,Tier 2 - high-value source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,11,Send or batch PULL-003; save source copy to BLOCK-02 - PULL-003 - RG 208 long-range policy directive batch; then run receipt QA.,Open PULL-003 request row and confirm NAID 4732395 is in the next archive batch.,"When source copy arrives from PULL-003, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Long-Range%20Policy%20Guidance-Poland%20Office%20of%20War%20Information%20directive%201945 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Policy headnote,EPI-004; EPI-011,"Eastern Europe, exile audiences, and Poland/Czechoslovakia guidance | Liberation, Netherlands, France, Austria, Poland, and peace-aims guidance",EPI-004: Promote policy directives only after one State or post record shows why the theme mattered diplomatically. | EPI-011: Promote directives as chapter spine only when paired with implementation or public-line/reaction records.,DOC50-019; DOC50-026; DOC50-030; DOC50-037; DOC50-023; DOC50-024; DOC50-028,NARA,RG 208,NAID 4732395,BLOCK-02 - PULL-003 - RG 208 long-range policy directive batch,PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,TRIP-003: Second archive pass: RG 208 OWI directive and coordination source copies,https://catalog.archives.gov/id/4732395,https://history.state.gov/search?q=%22Long-Range%20Policy%20Guidance-Poland%22,"","",""
READY-012,DOC50-024,WDS-046,5,"Peace Aims, Occupation Guidance, and State Handoff",CH5-S02,"April 12, 1945",Long-Range Policy Directive-Austria,Peace Aims and Handoff,Policy guidance,High,41,10,Tier 2 - high-value source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,12,Send or batch PULL-003; save source copy to BLOCK-02 - PULL-003 - RG 208 long-range policy directive batch; then run receipt QA.,Open PULL-003 request row and confirm NAID 4732367 is in the next archive batch.,"When source copy arrives from PULL-003, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Long-Range%20Policy%20Directive-Austria%20Office%20of%20War%20Information%20directive%201945 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Policy headnote,EPI-011,"Liberation, Netherlands, France, Austria, Poland, and peace-aims guidance",EPI-011: Promote directives as chapter spine only when paired with implementation or public-line/reaction records.,DOC50-023; DOC50-025; DOC50-028,NARA,RG 208,NAID 4732367,BLOCK-02 - PULL-003 - RG 208 long-range policy directive batch,PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,TRIP-003: Second archive pass: RG 208 OWI directive and coordination source copies,https://catalog.archives.gov/id/4732367,https://history.state.gov/search?q=%22Long-Range%20Policy%20Directive-Austria%22,"","",""
READY-013,DOC50-023,WDS-047,5,"Peace Aims, Occupation Guidance, and State Handoff",CH5-S03,"April 18, 1945",Long-Range Directive-France,Peace Aims and Handoff,Policy guidance,High,41,10,Tier 2 - high-value source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,13,Send or batch PULL-003; save source copy to BLOCK-02 - PULL-003 - RG 208 long-range policy directive batch; then run receipt QA.,Open PULL-003 request row and confirm NAID 4732378 is in the next archive batch.,"When source copy arrives from PULL-003, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Long-Range%20Directive-France%20Office%20of%20War%20Information%20directive%201945 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Policy headnote,EPI-011,"Liberation, Netherlands, France, Austria, Poland, and peace-aims guidance",EPI-011: Promote directives as chapter spine only when paired with implementation or public-line/reaction records.,DOC50-024; DOC50-025; DOC50-028,NARA,RG 208,NAID 4732378,BLOCK-02 - PULL-003 - RG 208 long-range policy directive batch,PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,TRIP-003: Second archive pass: RG 208 OWI directive and coordination source copies,https://catalog.archives.gov/id/4732378,https://history.state.gov/search?q=%22Long-Range%20Directive-France%22,"","",""
READY-014,DOC50-031,WDS-010,2,Creating War Information and White House Control,CH2-S06,September 1943-June 1944,OWI-OSS Relations,Creating War Information,Policy coordination,High,39,10,Tier 2 - high-value source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,14,Send or batch PULL-004; save source copy to BLOCK-02 - PULL-004 - RG 208 special guidances London-Moscow cables OWI-OSS and PWE crosswalk; then run receipt QA.,Open PULL-004 request row and confirm NAID 4732416 is in the next archive batch.,"When source copy arrives from PULL-004, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=OWI-OSS%20Relations%20Office%20of%20War%20Information%20directive%201943 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Coordination annotation,EPI-003,"OWI, OSS, PWE, London, and Allied directive coordination","EPI-003: Promote when the record shows U.S. policy coordination or diplomatic effect, not merely Allied or intelligence background.",DOC50-032; DOC50-033; DOC50-034; DOC50-029; DOC50-030,NARA,RG 208,NAID 4732416,BLOCK-02 - PULL-004 - RG 208 special guidances London-Moscow cables OWI-OSS and PWE crosswalk,PULL-004,DKT-001; DKT-005; DKT-008; DKT-004,TRIP-004: Second archive pass: RG 208 OWI directive and coordination source copies,https://catalog.archives.gov/id/4732416,https://history.state.gov/search?q=%22OWI-OSS%20Relations%22,"","",""
READY-015,DOC50-030,WDS-011,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S02,October 1943-September 1945,Special Guidances-Moscow Cables on Directives,OWI Overseas and VOA,Policy coordination,High,39,10,Tier 2 - high-value source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,15,Send or batch PULL-004; save source copy to BLOCK-02 - PULL-004 - RG 208 special guidances London-Moscow cables OWI-OSS and PWE crosswalk; then run receipt QA.,Open PULL-004 request row and confirm NAID 4732413 is in the next archive batch.,"When source copy arrives from PULL-004, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Special%20Guidances-Moscow%20Cables%20Directives%20Office%20of%20War%20Information%20directive%201943 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Coordination annotation,EPI-003; EPI-004,"OWI, OSS, PWE, London, and Allied directive coordination | Eastern Europe, exile audiences, and Poland/Czechoslovakia guidance","EPI-003: Promote when the record shows U.S. policy coordination or diplomatic effect, not merely Allied or intelligence background. | EPI-004: Promote policy directives only after one State or post record shows why the theme mattered diplomatically.",DOC50-031; DOC50-032; DOC50-033; DOC50-034; DOC50-029; DOC50-019; DOC50-026; DOC50-025; DOC50-037,NARA,RG 208,NAID 4732413,BLOCK-02 - PULL-004 - RG 208 special guidances London-Moscow cables OWI-OSS and PWE crosswalk,PULL-004,DKT-001; DKT-005; DKT-008; DKT-004,TRIP-004: Second archive pass: RG 208 OWI directive and coordination source copies,https://catalog.archives.gov/id/4732413,https://history.state.gov/search?q=%22Special%20Guidances-Moscow%20Cables%20on%20Directives%22,"","",""
READY-016,DOC50-033,WDS-017,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S07,May-June 1944,Central Directives-May-June 1944,OWI Overseas and VOA,Policy coordination,High,39,10,Tier 2 - high-value source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,16,Send or batch PULL-004; save source copy to BLOCK-02 - PULL-004 - RG 208 special guidances London-Moscow cables OWI-OSS and PWE crosswalk; then run receipt QA.,Open PULL-004 request row and confirm NAID 4732319 is in the next archive batch.,"When source copy arrives from PULL-004, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Central%20Directives-May-June%201944%20Office%20of%20War%20Information%20directive%201944 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Coordination annotation,EPI-003; EPI-007; EPI-008,"OWI, OSS, PWE, London, and Allied directive coordination | Britain, Iceland, and Atlantic information-center operations | Global outpost implementation in Africa, Pacific, New Zealand, and Thailand","EPI-003: Promote when the record shows U.S. policy coordination or diplomatic effect, not merely Allied or intelligence background. | EPI-007: Promote the Iceland or Manchester records if they show outpost strategy, post coordination, or evidence of public reach. | EPI-008: Promote only if records document actual implementation, distribution, or audience/public-affairs consequence.",DOC50-031; DOC50-032; DOC50-034; DOC50-029; DOC50-030; DOC50-010; DOC50-012; DOC50-013; DOC50-035; DOC50-009; DOC50-016; DOC50-018,NARA,RG 208,NAID 4732319,BLOCK-02 - PULL-004 - RG 208 special guidances London-Moscow cables OWI-OSS and PWE crosswalk,PULL-004,DKT-001; DKT-005; DKT-008; DKT-004,TRIP-004: Second archive pass: RG 208 OWI directive and coordination source copies,https://catalog.archives.gov/id/4732319,https://history.state.gov/search?q=%22Central%20Directives-May-June%201944%22%20OWI,"","",""
READY-017,DOC50-029,WDS-019,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S09,July 1944-February 1945,Special Guidances-London Policy Directives,OWI Overseas and VOA,Policy coordination,High,39,10,Tier 2 - high-value source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,17,Send or batch PULL-004; save source copy to BLOCK-02 - PULL-004 - RG 208 special guidances London-Moscow cables OWI-OSS and PWE crosswalk; then run receipt QA.,Open PULL-004 request row and confirm NAID 4732414 is in the next archive batch.,"When source copy arrives from PULL-004; PULL-005, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Special%20Guidances-London%20Policy%20Directives%20Office%20of%20War%20Information%20directive%201944 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Coordination annotation,EPI-003; EPI-006; EPI-007,"OWI, OSS, PWE, London, and Allied directive coordination | Neutral Europe, Italy, Balkan, and Iberian implementation | Britain, Iceland, and Atlantic information-center operations","EPI-003: Promote when the record shows U.S. policy coordination or diplomatic effect, not merely Allied or intelligence background. | EPI-006: Promote cables that show diplomatic implementation, not routine forwarding of OWI material. | EPI-007: Promote the Iceland or Manchester records if they show outpost strategy, post coordination, or evidence of public reach.",DOC50-031; DOC50-032; DOC50-033; DOC50-034; DOC50-030; DOC50-027; DOC50-011; DOC50-014; DOC50-015; DOC50-017; DOC50-038; DOC50-039; DOC50-040; DOC50-010; DOC50-012; DOC50-013,NARA,RG 208,NAID 4732414,BLOCK-02 - PULL-004 - RG 208 special guidances London-Moscow cables OWI-OSS and PWE crosswalk,PULL-004,DKT-001; DKT-005; DKT-008; DKT-004,TRIP-004: Second archive pass: RG 208 OWI directive and coordination source copies,https://catalog.archives.gov/id/4732414,https://history.state.gov/search?q=%22Special%20Guidances-London%20Policy%20Directives%22,"","",""
READY-018,DOC50-043,WDS-003,2,Creating War Information and White House Control,CH2-S02,June 1942,"Office of War Information - Survey of Intelligence, June 1942",Creating War Information,White House control,Medium,33,10,Tier 3 - supporting source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,18,Send or batch PULL-008; save source copy to BLOCK-05 - PULL-008 - FDR Library OWI White House decision packet; then run receipt QA.,Open PULL-008 request row and confirm NAID 16620611 is in the next archive batch.,"When source copy arrives from PULL-008, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Survey%20Intelligence%20June%201942%20Office%20of%20War%20Information%201942 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Policy headnote,EPI-001,White House control and OWI creation files,"EPI-001: Promote only if the source copy shows presidential/White House control, State clearance, or a policy decision rather than routine filing.",DOC50-041; DOC50-042; DOC50-044; DOC50-045,FDR Library / NARA Catalog,President's Secretary's File,NAID 16620611,BLOCK-05 - PULL-008 - FDR Library OWI White House decision packet,PULL-008,DKT-001; DKT-005; DKT-008; DKT-007,TRIP-008: FDR Library pass: White House and Philleo Nash folder source copies,https://catalog.archives.gov/id/16620611,https://history.state.gov/search?q=%22Office%20of%20War%20Information%20-%20Survey%20of%20Intelligence%2C%20June%201942%22,"","",""
READY-019,DOC50-044,WDS-004,2,Creating War Information and White House Control,CH2-S03,August 1942,"Office of War Information - Survey of Intelligence, August 1942",Creating War Information,White House control,Medium,33,10,Tier 3 - supporting source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,19,Send or batch PULL-008; save source copy to BLOCK-05 - PULL-008 - FDR Library OWI White House decision packet; then run receipt QA.,Open PULL-008 request row and confirm NAID 16620616 is in the next archive batch.,"When source copy arrives from PULL-008, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Survey%20Intelligence%20August%201942%20Office%20of%20War%20Information%201942 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Policy headnote,EPI-001,White House control and OWI creation files,"EPI-001: Promote only if the source copy shows presidential/White House control, State clearance, or a policy decision rather than routine filing.",DOC50-041; DOC50-042; DOC50-043; DOC50-045,FDR Library / NARA Catalog,President's Secretary's File,NAID 16620616,BLOCK-05 - PULL-008 - FDR Library OWI White House decision packet,PULL-008,DKT-001; DKT-005; DKT-008; DKT-007,TRIP-008: FDR Library pass: White House and Philleo Nash folder source copies,https://catalog.archives.gov/id/16620616,https://history.state.gov/search?q=%22Office%20of%20War%20Information%20-%20Survey%20of%20Intelligence%2C%20August%201942%22,"","",""
READY-020,DOC50-045,WDS-007,2,Creating War Information and White House Control,CH2-S05,December 1942,"Office of War Information - Survey of Intelligence, December 1942",Creating War Information,White House control,Medium,33,10,Tier 3 - supporting source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,20,Send or batch PULL-008; save source copy to BLOCK-05 - PULL-008 - FDR Library OWI White House decision packet; then run receipt QA.,Open PULL-008 request row and confirm NAID 16620625 is in the next archive batch.,"When source copy arrives from PULL-008, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Survey%20Intelligence%20December%201942%20Office%20of%20War%20Information%201942 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Policy headnote,EPI-001,White House control and OWI creation files,"EPI-001: Promote only if the source copy shows presidential/White House control, State clearance, or a policy decision rather than routine filing.",DOC50-041; DOC50-042; DOC50-043; DOC50-044,FDR Library / NARA Catalog,President's Secretary's File,NAID 16620625,BLOCK-05 - PULL-008 - FDR Library OWI White House decision packet,PULL-008,DKT-001; DKT-005; DKT-008; DKT-007,TRIP-008: FDR Library pass: White House and Philleo Nash folder source copies,https://catalog.archives.gov/id/16620625,https://history.state.gov/search?q=%22Office%20of%20War%20Information%20-%20Survey%20of%20Intelligence%2C%20December%201942%22,"","",""
READY-021,DOC50-028,WDS-038,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S21,"November 20, 1944",Netherlands Long Range Directive,OWI Overseas and VOA,Policy guidance,Medium,33,10,Tier 3 - supporting source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,21,Send or batch PULL-003; save source copy to BLOCK-02 - PULL-003 - RG 208 long-range policy directive batch; then run receipt QA.,Open PULL-003 request row and confirm NAID 4732392 is in the next archive batch.,"When source copy arrives from PULL-003, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Netherlands%20Long%20Range%20Office%20of%20War%20Information%20directive%201944 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Policy headnote,EPI-011,"Liberation, Netherlands, France, Austria, Poland, and peace-aims guidance",EPI-011: Promote directives as chapter spine only when paired with implementation or public-line/reaction records.,DOC50-023; DOC50-024; DOC50-025,NARA,RG 208,NAID 4732392,BLOCK-02 - PULL-003 - RG 208 long-range policy directive batch,PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,TRIP-003: Second archive pass: RG 208 OWI directive and coordination source copies,https://catalog.archives.gov/id/4732392,https://history.state.gov/search?q=%22Netherlands%20Long%20Range%20Directive%22,"","",""
READY-022,DOC50-035,WDS-044,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S26,"January 30, 1945",Long-Range Policy Directive for Thailand,OWI Overseas and VOA,Policy guidance,Medium,33,10,Tier 3 - supporting source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,22,Send or batch PULL-003; save source copy to BLOCK-02 - PULL-003 - RG 208 long-range policy directive batch; then run receipt QA.,Open PULL-003 request row and confirm NAID 4732400 is in the next archive batch.,"When source copy arrives from PULL-003, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Long-Range%20Policy%20Thailand%20Office%20of%20War%20Information%20directive%201945 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Policy headnote,EPI-008,"Global outpost implementation in Africa, Pacific, New Zealand, and Thailand","EPI-008: Promote only if records document actual implementation, distribution, or audience/public-affairs consequence.",DOC50-033; DOC50-034; DOC50-009; DOC50-016; DOC50-018,NARA,RG 208,NAID 4732400,BLOCK-02 - PULL-003 - RG 208 long-range policy directive batch,PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,TRIP-003: Second archive pass: RG 208 OWI directive and coordination source copies,https://catalog.archives.gov/id/4732400,https://history.state.gov/search?q=%22Long-Range%20Policy%20Directive%20for%20Thailand%22,"","",""
READY-023,DOC50-010,WDS-020,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S10,"July 8, 1944",The Iceland Outpost: Analysis of an Informational Operation,OWI Overseas and VOA,State cable / implementation,High,31,10,Tier 2 - high-value source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,23,Send or batch PULL-001; save source copy to BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch; then run receipt QA.,"Open PULL-001 request row and confirm 103.9166/7-844; M973 roll 607, image 0500 is in the next archive batch.","When source copy arrives from PULL-001, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Iceland%20Outpost%20Analysis%20Informational%20Operation%20OWI%20State%201944 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Implementation annotation,EPI-007,"Britain, Iceland, and Atlantic information-center operations","EPI-007: Promote the Iceland or Manchester records if they show outpost strategy, post coordination, or evidence of public reach.",DOC50-029; DOC50-033; DOC50-012; DOC50-013,NARA,RG 59,"103.9166/7-844; M973 roll 607, image 0500",BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch,PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,TRIP-001: First archive pass: RG 59 Central Decimal source copies,https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22The%20Iceland%20Outpost%22,"","",""
READY-024,DOC50-012,WDS-023,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S13,"August 8, 1944",Manchester dispatch enclosing notices on the OWI Information Center Unit,OWI Overseas and VOA,State cable / implementation,High,31,10,Tier 2 - high-value source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,24,Send or batch PULL-001; save source copy to BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch; then run receipt QA.,"Open PULL-001 request row and confirm 103.9166/8-844; M973 roll 607, image 0550 is in the next archive batch.","When source copy arrives from PULL-001; PULL-005, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Manchester%20dispatch%20enclosing%20notices%20Center%20Unit%20OWI%20State%201944 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Implementation annotation,EPI-007,"Britain, Iceland, and Atlantic information-center operations","EPI-007: Promote the Iceland or Manchester records if they show outpost strategy, post coordination, or evidence of public reach.",DOC50-029; DOC50-033; DOC50-010; DOC50-013,NARA,RG 59,"103.9166/8-844; M973 roll 607, image 0550",BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch,PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,TRIP-001: First archive pass: RG 59 Central Decimal source copies,https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22Information%20Center%20Unit%22%20Manchester%20OWI,"","",""
READY-025,DOC50-016,WDS-028,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S18,"September 2, 1944",Suva telegram summarizing a Central Directive from OWI,OWI Overseas and VOA,State cable / implementation,High,31,10,Tier 2 - high-value source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,25,Send or batch PULL-001; save source copy to BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch; then run receipt QA.,"Open PULL-001 request row and confirm 103.9166/9-244; M973 roll 607, image 0600 is in the next archive batch.","When source copy arrives from PULL-001, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Suva%20telegram%20summarizing%20Central%20OWI%20State%201944 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Implementation annotation,EPI-008,"Global outpost implementation in Africa, Pacific, New Zealand, and Thailand","EPI-008: Promote only if records document actual implementation, distribution, or audience/public-affairs consequence.",DOC50-035; DOC50-033; DOC50-034; DOC50-009; DOC50-018,NARA,RG 59,"103.9166/9-244; M973 roll 607, image 0600",BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch,PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,TRIP-001: First archive pass: RG 59 Central Decimal source copies,https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22Summary%20of%20Central%20Directive%20from%20OWI%22,"","",""
