"Chronology ID","Candidate ID","Sort Key","Display Date","Lane","Episode","Editorial Role","Priority","Proof Status","Repository","Record Group","Source Locator","Title","Placement Note","Next Action","Duplicate Task","Related Pull Sheets","Related Docket","Catalog URL","FRUS Search URL","Source Note"
"CHR-011","DOC50-030","1943-10-01","October 1943-September 1945","OWI Overseas and VOA","Allied and interagency directive coordination","Policy coordination","High","Source copy needed","NARA","RG 208","NAID 4732413","Special Guidances-Moscow Cables on Directives","Coordination sequence after core directives; use to explain Allied, OSS, London, and Moscow boundaries.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-004","DKT-001; DKT-005; DKT-008; DKT-004","https://catalog.archives.gov/id/4732413","https://history.state.gov/search?q=%22Special%20Guidances-Moscow%20Cables%20on%20Directives%22","NARA RG 208, Record Set of Policy Directives, Special Guidances-Moscow Cables on Directives-October 1943-September 1945, NAID 4732413."
"CHR-012","DOC50-050","1943-12-31","1941-1943","Hemisphere and Cultural Exchange","OIAA radio operations and reaction evidence","Reception / operations evidence","High","Item selection needed","NARA","RG 229","NAID 2102898","Radio Division Reports and Issuances","Hemisphere radio/OIAA cluster; pair State cable, post evidence, and OIAA radio reaction before promotion.","Itemize the file unit and pair radio operation or reaction evidence with RG 59/RG 84 State documentation.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-007","DKT-001; DKT-005; DKT-008; DKT-003; DKT-006","https://catalog.archives.gov/id/2102898","https://history.state.gov/search?q=%22Radio%20Division%20Reports%20and%20Issuances%22","NARA RG 229, Office of the Coordinator of Inter-American Affairs, Department of Information, Radio Division, Reports and Issuances, NAID 2102898."
"CHR-013","DOC50-032","1944-01-01","January-December 1944","OWI Overseas and VOA","Allied and interagency directive coordination","Policy coordination","Medium","Source copy needed","NARA","RG 208","NAID 4732424","Political Warfare Executive Central Directives","Coordination sequence after core directives; use to explain Allied, OSS, London, and Moscow boundaries.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-004","DKT-001; DKT-005; DKT-008; DKT-004","https://catalog.archives.gov/id/4732424","https://history.state.gov/search?q=%22Political%20Warfare%20Executive%20Central%20Directives%22%20%221944%22","NARA RG 208, Record Set of Policy Directives, Political Warfare Executive Central Directives-January-December 1944, NAID 4732424."
"CHR-014","DOC50-038","1944-01-01","1944-1945","OWI Overseas and VOA","War Department propaganda boundary review","Boundary directive","Medium","Boundary ruling needed","NARA","RG 165","NAID 2149198","Weekly Propaganda Directive Office of War Information Sweden","Boundary appendix or hold unless State/OWI diplomatic policy significance is proven.","Apply the boundary rule: promote only if the record shows State/OWI coordination, diplomatic controversy, or public-diplomacy policy beyond tactical warfare.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-010","DKT-001; DKT-005; DKT-008; DKT-004","https://catalog.archives.gov/id/2149198","https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%20Office%20of%20War%20Information%20Sweden%22","NARA RG 165, Weekly Propaganda Directive Office of War Information Sweden, NAID 2149198."
"CHR-015","DOC50-039","1944-01-01","1944-1945","OWI Overseas and VOA","War Department propaganda boundary review","Boundary directive","Medium","Boundary ruling needed","NARA","RG 165","NAID 2149195","Weekly Propaganda Directive Office of War Information Iberia","Boundary appendix or hold unless State/OWI diplomatic policy significance is proven.","Apply the boundary rule: promote only if the record shows State/OWI coordination, diplomatic controversy, or public-diplomacy policy beyond tactical warfare.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-010","DKT-001; DKT-005; DKT-008; DKT-004","https://catalog.archives.gov/id/2149195","https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%20Office%20of%20War%20Information%20Iberia%22","NARA RG 165, Weekly Propaganda Directive Office of War Information Iberia, NAID 2149195."
"CHR-016","DOC50-040","1944-01-01","1944-1945","OWI Overseas and VOA","War Department propaganda boundary review","Boundary directive","Medium","Boundary ruling needed","NARA","RG 165","NAID 2149196","Weekly Propaganda Directive Office of War Information Norway, Netherlands, Middle East","Boundary appendix or hold unless State/OWI diplomatic policy significance is proven.","Apply the boundary rule: promote only if the record shows State/OWI coordination, diplomatic controversy, or public-diplomacy policy beyond tactical warfare.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-010","DKT-001; DKT-005; DKT-008; DKT-004","https://catalog.archives.gov/id/2149196","https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%20Office%20of%20War%20Information%20Norway%20Netherlands%20Middle%20East%22","NARA RG 165, Weekly Propaganda Directive Office of War Information Norway, Netherlands, Middle East #39, NAID 2149196."
"CHR-017","DOC50-033","1944-05-01","May-June 1944","OWI Overseas and VOA","Allied and interagency directive coordination","Policy coordination","High","Source copy needed","NARA","RG 208","NAID 4732319","Central Directives-May-June 1944","Coordination sequence after core directives; use to explain Allied, OSS, London, and Moscow boundaries.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-004","DKT-001; DKT-005; DKT-008; DKT-004","https://catalog.archives.gov/id/4732319","https://history.state.gov/search?q=%22Central%20Directives-May-June%201944%22%20OWI","NARA RG 208, Record Set of Policy Directives, Central Directives-May-June 1944, NAID 4732319."
"CHR-018","DOC50-036","1944-06-30","June 30, 1944","OWI Overseas and VOA","War Department propaganda boundary review","Boundary directive","High","Boundary ruling needed","NARA","RG 165","NAID 2149194","Weekly Propaganda Directive Office of War Information Germany","Boundary appendix or hold unless State/OWI diplomatic policy significance is proven.","Apply the boundary rule: promote only if the record shows State/OWI coordination, diplomatic controversy, or public-diplomacy policy beyond tactical warfare.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-010","DKT-001; DKT-005; DKT-008; DKT-004","https://catalog.archives.gov/id/2149194","https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%20Office%20of%20War%20Information%20Germany%22","NARA RG 165, Weekly Propaganda Directive Office of War Information Germany June 30, 1944, NAID 2149194."
"CHR-019","DOC50-029","1944-07-01","July 1944-February 1945","OWI Overseas and VOA","Allied and interagency directive coordination","Policy coordination","High","Source copy needed","NARA","RG 208","NAID 4732414","Special Guidances-London Policy Directives","Coordination sequence after core directives; use to explain Allied, OSS, London, and Moscow boundaries.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-004","DKT-001; DKT-005; DKT-008; DKT-004","https://catalog.archives.gov/id/4732414","https://history.state.gov/search?q=%22Special%20Guidances-London%20Policy%20Directives%22","NARA RG 208, Record Set of Policy Directives, Special Guidances-London Policy Directives-July 1944-February 1945, NAID 4732414."
"CHR-020","DOC50-010","1944-07-08","July 8, 1944","OWI Overseas and VOA","OWI overseas reporting and field information work","State cable / implementation","High","Source copy needed","NARA","RG 59","103.9166/7-844; M973 roll 607, image 0500","The Iceland Outpost: Analysis of an Informational Operation","OWI overseas cluster; pair Washington guidance with post reporting or foreign-reaction evidence.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-001","DKT-001; DKT-005; DKT-008; DKT-002; DKT-006","https://catalog.archives.gov/id/88176221","https://history.state.gov/search?q=%22The%20Iceland%20Outpost%22","NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0500."
"CHR-021","DOC50-011","1944-07-09","July 9, 1944","OWI Overseas and VOA","OWI overseas reporting and field information work","State cable / implementation","Medium","Source copy needed","NARA","RG 59","103.9166/7-944; M973 roll 607, image 0500","Switzerland telegram carrying OWI message on prewar Bern-Rome communications","OWI overseas cluster; pair Washington guidance with post reporting or foreign-reaction evidence.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-001","DKT-001; DKT-005; DKT-008; DKT-002; DKT-006","https://catalog.archives.gov/id/88176221","https://history.state.gov/search?q=%22Bern-Rome%20communications%22%20OWI","NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0500."
"CHR-022","DOC50-009","1944-07-10","July 10, 1944","OWI Overseas and VOA","OWI overseas reporting and field information work","State cable / implementation","Medium","Source copy needed","NARA","RG 59","103.9166/7-1044; M973 roll 607, image 0500","Dakar telegram to Motion Picture Radio Division advising United Newsreel 108 arrived","OWI overseas cluster; pair Washington guidance with post reporting or foreign-reaction evidence.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-001","DKT-001; DKT-005; DKT-008; DKT-002; DKT-006","https://catalog.archives.gov/id/88176221","https://history.state.gov/search?q=%22United%20Newsreel%20108%22","NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0500."
"CHR-023","DOC50-012","1944-08-08","August 8, 1944","OWI Overseas and VOA","OWI overseas reporting and field information work","State cable / implementation","High","Source copy needed","NARA","RG 59","103.9166/8-844; M973 roll 607, image 0550","Manchester dispatch enclosing notices on the OWI Information Center Unit","OWI overseas cluster; pair Washington guidance with post reporting or foreign-reaction evidence.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-001","DKT-001; DKT-005; DKT-008; DKT-002; DKT-006","https://catalog.archives.gov/id/88176221","https://history.state.gov/search?q=%22Information%20Center%20Unit%22%20Manchester%20OWI","NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0550."
"CHR-024","DOC50-013","1944-08-08","August 8, 1944","OWI Overseas and VOA","OWI overseas reporting and field information work","State cable / implementation","Medium","Source copy needed","NARA","RG 59","103.9166/8-844; M973 roll 607, image 0550","Manchester Press Attache report for the week ending August 5, 1944","OWI overseas cluster; pair Washington guidance with post reporting or foreign-reaction evidence.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-001","DKT-001; DKT-005; DKT-008; DKT-002; DKT-006","https://catalog.archives.gov/id/88176221","https://history.state.gov/search?q=%22Manchester%20Press%20Attache%22%20%22August%205%2C%201944%22","NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0550."
"CHR-025","DOC50-034","1944-09-01","September 1944","OWI Overseas and VOA","Allied and interagency directive coordination","Policy coordination","Medium","Source copy needed","NARA","RG 208","NAID 4732351","Regional Directives-September 1944","Coordination sequence after core directives; use to explain Allied, OSS, London, and Moscow boundaries.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-004","DKT-001; DKT-005; DKT-008; DKT-004","https://catalog.archives.gov/id/4732351","https://history.state.gov/search?q=%22Regional%20Directives-September%201944%22%20OWI","NARA RG 208, Record Set of Policy Directives, Regional Directives-September 1944, NAID 4732351."
"CHR-026","DOC50-014","1944-09-02","September 2, 1944","OWI Overseas and VOA","OWI overseas reporting and field information work","State cable / implementation","Critical","Source copy needed","NARA","RG 59","103.9166/9-244; M973 roll 607, image 0600","Naples telegram on the present state of OWI thinking with regard to Balkan affairs","OWI overseas cluster; pair Washington guidance with post reporting or foreign-reaction evidence.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-001","DKT-001; DKT-005; DKT-008; DKT-002; DKT-006","https://catalog.archives.gov/id/88176221","https://history.state.gov/search?q=%22OWI%27s%20thinking%22%20%22Balkan%20affairs%22","NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0600."
"CHR-027","DOC50-015","1944-09-02","September 2, 1944","OWI Overseas and VOA","OWI overseas reporting and field information work","State cable / implementation","Critical","Source copy needed","NARA","RG 59","103.9166/9-244; M973 roll 607, image 0600","Switzerland telegram submitting suggestions for Allied propaganda for Italy","OWI overseas cluster; pair Washington guidance with post reporting or foreign-reaction evidence.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-001","DKT-001; DKT-005; DKT-008; DKT-002; DKT-006","https://catalog.archives.gov/id/88176221","https://history.state.gov/search?q=%22suggestions%20for%20allied%20propaganda%20for%20Italy%22","NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0600."
"CHR-028","DOC50-016","1944-09-02","September 2, 1944","OWI Overseas and VOA","OWI overseas reporting and field information work","State cable / implementation","High","Source copy needed","NARA","RG 59","103.9166/9-244; M973 roll 607, image 0600","Suva telegram summarizing a Central Directive from OWI","OWI overseas cluster; pair Washington guidance with post reporting or foreign-reaction evidence.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-001","DKT-001; DKT-005; DKT-008; DKT-002; DKT-006","https://catalog.archives.gov/id/88176221","https://history.state.gov/search?q=%22Summary%20of%20Central%20Directive%20from%20OWI%22","NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0600."
"CHR-029","DOC50-001","1944-09-09","September 9-11, 1944","Hemisphere and Cultural Exchange","CIAA shortwave, films, and hemispheric information service","State cable / implementation","High","Source copy needed","NARA","RG 59","103.9161/9-944; M973 roll 607, image 0095","CIAA circular announcing morning and noon Spanish-language shortwave service","Hemisphere radio/OIAA cluster; pair State cable, post evidence, and OIAA radio reaction before promotion.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-002; PULL-007","DKT-001; DKT-005; DKT-008; DKT-003; DKT-006","https://catalog.archives.gov/id/88176221","https://history.state.gov/search?q=%22103.9161%2F9-944%22","NARA RG 59, Purport Lists and Cards, 7/1944-12/1944: 103.91602/4-1544 - 103.9166/12-3144, NAID 88176221, M973-607-0095."
"CHR-030","DOC50-002","1944-09-21","September 21, 1944","Hemisphere and Cultural Exchange","CIAA shortwave, films, and hemispheric information service","State cable / implementation","High","Source copy needed","NARA","RG 59","103.9161/9-2144; M973 roll 607, image 0100","Dominican Republic report that WNBI broadcasts were excellent but reception varied by date","Hemisphere radio/OIAA cluster; pair State cable, post evidence, and OIAA radio reaction before promotion.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-002; PULL-007","DKT-001; DKT-005; DKT-008; DKT-003; DKT-006","https://catalog.archives.gov/id/88176221","https://history.state.gov/search?q=%22103.9161%2F9-2144%22","NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0100."
"CHR-031","DOC50-008","1944-09-21","September 21, 1944","Hemisphere and Cultural Exchange","CIAA shortwave, films, and hemispheric information service","State cable / implementation","Medium","Source copy needed","NARA","RG 59","103.9161/9-2144; M973 roll 607, image 0100","Costa Rica telegram enclosing Nelson Rockefeller message for Teodoro Picado","Hemisphere radio/OIAA cluster; pair State cable, post evidence, and OIAA radio reaction before promotion.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-002; PULL-007","DKT-001; DKT-005; DKT-008; DKT-003; DKT-006","https://catalog.archives.gov/id/88176221","https://history.state.gov/search?q=%22Teodoro%20Picado%22%20%22Rockefeller%22%20%221944%22","NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0100."
"CHR-032","DOC50-003","1944-09-22","September 22, 1944","Hemisphere and Cultural Exchange","CIAA shortwave, films, and hemispheric information service","State cable / implementation","Medium","Source copy needed","NARA","RG 59","103.9161/9-2244; M973 roll 607, image 0100","Circular to diplomatic officers requesting replies to a motion-picture questionnaire","Hemisphere radio/OIAA cluster; pair State cable, post evidence, and OIAA radio reaction before promotion.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-002; PULL-007","DKT-001; DKT-005; DKT-008; DKT-003; DKT-006","https://catalog.archives.gov/id/88176221","https://history.state.gov/search?q=%22103.9161%2F9-2244%22","NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0100."
"CHR-033","DOC50-004","1944-10-20","October 20, 1944","Hemisphere and Cultural Exchange","CIAA shortwave, films, and hemispheric information service","State cable / implementation","High","Source copy needed","NARA","RG 59","103.9161/10-2044; M973 roll 607, image 0110","Colombia telegram listing latest CIAA program numbers and expiration dates","Hemisphere radio/OIAA cluster; pair State cable, post evidence, and OIAA radio reaction before promotion.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-002; PULL-007","DKT-001; DKT-005; DKT-008; DKT-003; DKT-006","https://catalog.archives.gov/id/88176221","https://history.state.gov/search?q=%22103.9161%2F10-2044%22","NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0110."
"CHR-034","DOC50-005","1944-10-20","October 20, 1944","Hemisphere and Cultural Exchange","CIAA shortwave, films, and hemispheric information service","State cable / implementation","Medium","Source copy needed","NARA","RG 59","103.9161/10-2044; M973 roll 607, image 0110","Chile telegram reporting that no CIAA transcriptions were then in use","Hemisphere radio/OIAA cluster; pair State cable, post evidence, and OIAA radio reaction before promotion.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-002; PULL-007","DKT-001; DKT-005; DKT-008; DKT-003; DKT-006","https://catalog.archives.gov/id/88176221","https://history.state.gov/search?q=%22103.9161%2F10-2044%22","NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0110."
"CHR-035","DOC50-026","1944-10-28","October 28, 1944","OWI Overseas and VOA","Long-range liberation and postwar information policy","Policy guidance","High","Source copy needed","NARA","RG 208","NAID 4732375","Long-Range Directive for Czechoslovakia","Core policy-guidance sequence for liberation, occupation, neutral, and postwar information themes.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-003","DKT-001; DKT-005; DKT-008; DKT-004","https://catalog.archives.gov/id/4732375","https://history.state.gov/search?q=%22Long-Range%20Directive%20for%20Czechoslovakia%22","NARA RG 208, Record Set of Policy Directives, Long-Range Directive for Czechoslovakia-October 28, 1944, NAID 4732375."
"CHR-036","DOC50-017","1944-10-31","October 31, 1944","OWI Overseas and VOA","OWI overseas reporting and field information work","State cable / implementation","High","Source copy needed","NARA","RG 59","103.9166/10-3144; M973 roll 607, image 0700","Las Palmas report on Legation activities for OWI and American programs broadcast in September","OWI overseas cluster; pair Washington guidance with post reporting or foreign-reaction evidence.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-001","DKT-001; DKT-005; DKT-008; DKT-002; DKT-006","https://catalog.archives.gov/id/88176221","https://history.state.gov/search?q=%22American%20programs%20broadcast%22%20%22Las%20Palmas%22","NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0700."
