Decision ID,Candidate ID,Packet ID,Chronology ID,Duplicate ID,Proposed FRUS Number,Decision Status,Promotion Recommendation,Date,Title,Lane,Editorial Role,Priority,Source Copy Status,Duplicate Status,Boundary Ruling,Final Duplicate Ruling,Selection Rationale,Policy Evidence,Implementation Evidence,Reaction Evidence,Public Line Evidence,Citation Status,Final Source Note,Related Pull Sheets,Related Docket,Next Editorial Action,Reviewer,Decision Date,Notes
SEL-017,DOC50-017,PKT-017,CHR-036,DUP-036,"",Pending review,Hold pending source-copy and duplicate proof,"October 31, 1944",Las Palmas report on Legation activities for OWI and American programs broadcast in September,OWI Overseas and VOA,State cable / implementation,High,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0700.",PULL-001; PULL-006,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-018,DOC50-018,PKT-018,CHR-041,DUP-041,"",Pending review,Hold pending source-copy and duplicate proof,"December 6, 1944","New Zealand report on informational activities on behalf of OWI, September-October 1944",OWI Overseas and VOA,State cable / implementation,Medium,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0750.",PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-019,DOC50-019,PKT-019,CHR-009,DUP-009,"",Pending review,Priority promotion review after source copy,May 1943,Weekly Propaganda Directive: Poland,OWI Overseas and VOA,Policy guidance,Critical,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 208, Records of the Office of War Information, Record Set of Policy Directives, Regional Directives-May 1943, NAID 6851138.",,DKT-001; DKT-005; DKT-008; DKT-004,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-020,DOC50-020,PKT-020,CHR-048,DUP-048,"",Pending review,Priority promotion review after source copy,"April 26, 1945",Basic Policy Directive for Information in Germany,Peace Aims and Handoff,Policy guidance,Critical,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 208, Record Set of Policy Directives, Basic Policy Directive for Information in Germany-April 26, 1945, NAID 4732380.",PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-021,DOC50-021,PKT-021,CHR-049,DUP-049,"",Pending review,Priority promotion review after source copy,"May 29, 1945",Directive on Basic Themes for Output to Germany,Peace Aims and Handoff,Policy guidance,Critical,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 208, Record Set of Policy Directives, Directive on Basic Themes for Output to Germany-May 29, 1945, NAID 4732379.",PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-022,DOC50-022,PKT-022,CHR-040,DUP-040,"",Pending review,Hold pending source-copy and duplicate proof,"December 5, 1944",Long Range Directive for Germany,OWI Overseas and VOA,Policy guidance,High,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 208, Record Set of Policy Directives, Extra Copies of Long Range Directive for Germany-December 5, 1944, NAID 4732381.",PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-023,DOC50-023,PKT-023,CHR-047,DUP-047,"",Pending review,Hold pending source-copy and duplicate proof,"April 18, 1945",Long-Range Directive-France,Peace Aims and Handoff,Policy guidance,High,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 208, Record Set of Policy Directives, Long-Range Directive-France-April 18, 1945, NAID 4732378.",PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-024,DOC50-024,PKT-024,CHR-046,DUP-046,"",Pending review,Hold pending source-copy and duplicate proof,"April 12, 1945",Long-Range Policy Directive-Austria,Peace Aims and Handoff,Policy guidance,High,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 208, Record Set of Policy Directives, Long-Range Policy Directive-Austria-April 12, 1945, NAID 4732367.",PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-025,DOC50-025,PKT-025,CHR-045,DUP-045,"",Pending review,Hold pending source-copy and duplicate proof,"February 23, 1945",Long-Range Policy Guidance-Poland,Peace Aims and Handoff,Policy guidance,High,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 208, Record Set of Policy Directives, Long-Range Policy Guidance-Poland-February 23, 1945, NAID 4732395.",PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-026,DOC50-026,PKT-026,CHR-035,DUP-035,"",Pending review,Hold pending source-copy and duplicate proof,"October 28, 1944",Long-Range Directive for Czechoslovakia,OWI Overseas and VOA,Policy guidance,High,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 208, Record Set of Policy Directives, Long-Range Directive for Czechoslovakia-October 28, 1944, NAID 4732375.",PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-027,DOC50-027,PKT-027,CHR-042,DUP-042,"",Pending review,Hold pending source-copy and duplicate proof,"December 6, 1944",Long-Range Guidance-Switzerland,OWI Overseas and VOA,Policy guidance,High,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 208, Record Set of Policy Directives, Long-Range Guidance-Switzerland-December 6, 1944, NAID 4732402.",PULL-003; PULL-006,DKT-001; DKT-005; DKT-008; DKT-004,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-028,DOC50-028,PKT-028,CHR-038,DUP-038,"",Pending review,Hold pending source-copy and duplicate proof,"November 20, 1944",Netherlands Long Range Directive,OWI Overseas and VOA,Policy guidance,Medium,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 208, Record Set of Policy Directives, Extra Copies of Netherlands Long Range Directive-November 20, 1944, NAID 4732392.",PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-029,DOC50-029,PKT-029,CHR-019,DUP-019,"",Pending review,Hold pending source-copy and duplicate proof,July 1944-February 1945,Special Guidances-London Policy Directives,OWI Overseas and VOA,Policy coordination,High,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 208, Record Set of Policy Directives, Special Guidances-London Policy Directives-July 1944-February 1945, NAID 4732414.",PULL-004; PULL-005,DKT-001; DKT-005; DKT-008; DKT-004,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-030,DOC50-030,PKT-030,CHR-011,DUP-011,"",Pending review,Hold pending source-copy and duplicate proof,October 1943-September 1945,Special Guidances-Moscow Cables on Directives,OWI Overseas and VOA,Policy coordination,High,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 208, Record Set of Policy Directives, Special Guidances-Moscow Cables on Directives-October 1943-September 1945, NAID 4732413.",PULL-004,DKT-001; DKT-005; DKT-008; DKT-004,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-031,DOC50-031,PKT-031,CHR-010,DUP-010,"",Pending review,Hold pending source-copy and duplicate proof,September 1943-June 1944,OWI-OSS Relations,Creating War Information,Policy coordination,High,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 208, Record Set of Policy Directives, OWI-OSS Relations-September 1943-June 1944, NAID 4732416.",PULL-004,DKT-001; DKT-005; DKT-008; DKT-004,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-032,DOC50-032,PKT-032,CHR-013,DUP-013,"",Pending review,Hold pending source-copy and duplicate proof,January-December 1944,Political Warfare Executive Central Directives,OWI Overseas and VOA,Policy coordination,Medium,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 208, Record Set of Policy Directives, Political Warfare Executive Central Directives-January-December 1944, NAID 4732424.",PULL-004; PULL-005,DKT-001; DKT-005; DKT-008; DKT-004,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-033,DOC50-033,PKT-033,CHR-017,DUP-017,"",Pending review,Hold pending source-copy and duplicate proof,May-June 1944,Central Directives-May-June 1944,OWI Overseas and VOA,Policy coordination,High,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 208, Record Set of Policy Directives, Central Directives-May-June 1944, NAID 4732319.",PULL-004,DKT-001; DKT-005; DKT-008; DKT-004,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-034,DOC50-034,PKT-034,CHR-025,DUP-025,"",Pending review,Hold pending source-copy and duplicate proof,September 1944,Regional Directives-September 1944,OWI Overseas and VOA,Policy coordination,Medium,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 208, Record Set of Policy Directives, Regional Directives-September 1944, NAID 4732351.",PULL-004,DKT-001; DKT-005; DKT-008; DKT-004,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-035,DOC50-035,PKT-035,CHR-044,DUP-044,"",Pending review,Hold pending source-copy and duplicate proof,"January 30, 1945",Long-Range Policy Directive for Thailand,OWI Overseas and VOA,Policy guidance,Medium,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 208, Record Set of Policy Directives, Long-Range Policy Directive for Thailand-January 30, 1945, NAID 4732400.",PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-036,DOC50-036,PKT-036,CHR-018,DUP-018,"",Pending review,Boundary review before promotion,"June 30, 1944",Weekly Propaganda Directive Office of War Information Germany,OWI Overseas and VOA,Boundary directive,High,Needed,Unchecked,Boundary review required,Hold until boundary and duplicate checks clear,"","","","","",Pending source-copy citation,"NARA RG 165, Weekly Propaganda Directive Office of War Information Germany June 30, 1944, NAID 2149194.",PULL-010,DKT-001; DKT-005; DKT-008; DKT-004,"Apply boundary rule, document foreign-policy significance, then decide promote/hold/exclude.","","",""
SEL-037,DOC50-037,PKT-037,CHR-043,DUP-043,"",Pending review,Boundary review before promotion,"January 12, 1945",Weekly Propaganda Directive Office of War Information Czechoslovakia,OWI Overseas and VOA,Boundary directive,Medium,Needed,Unchecked,Boundary review required,Hold until boundary and duplicate checks clear,"","","","","",Pending source-copy citation,"NARA RG 165, Weekly Propaganda Directive Office of War Information Czechoslovakia January 12, 1945, NAID 2149191.",PULL-010,DKT-001; DKT-005; DKT-008; DKT-004,"Apply boundary rule, document foreign-policy significance, then decide promote/hold/exclude.","","",""
SEL-038,DOC50-038,PKT-038,CHR-014,DUP-014,"",Pending review,Boundary review before promotion,1944-1945,Weekly Propaganda Directive Office of War Information Sweden,OWI Overseas and VOA,Boundary directive,Medium,Needed,Unchecked,Boundary review required,Hold until boundary and duplicate checks clear,"","","","","",Pending source-copy citation,"NARA RG 165, Weekly Propaganda Directive Office of War Information Sweden, NAID 2149198.",PULL-006; PULL-010,DKT-001; DKT-005; DKT-008; DKT-004,"Apply boundary rule, document foreign-policy significance, then decide promote/hold/exclude.","","",""
SEL-039,DOC50-039,PKT-039,CHR-015,DUP-015,"",Pending review,Boundary review before promotion,1944-1945,Weekly Propaganda Directive Office of War Information Iberia,OWI Overseas and VOA,Boundary directive,Medium,Needed,Unchecked,Boundary review required,Hold until boundary and duplicate checks clear,"","","","","",Pending source-copy citation,"NARA RG 165, Weekly Propaganda Directive Office of War Information Iberia, NAID 2149195.",PULL-006; PULL-010,DKT-001; DKT-005; DKT-008; DKT-004,"Apply boundary rule, document foreign-policy significance, then decide promote/hold/exclude.","","",""
SEL-040,DOC50-040,PKT-040,CHR-016,DUP-016,"",Pending review,Boundary review before promotion,1944-1945,"Weekly Propaganda Directive Office of War Information Norway, Netherlands, Middle East",OWI Overseas and VOA,Boundary directive,Medium,Needed,Unchecked,Boundary review required,Hold until boundary and duplicate checks clear,"","","","","",Pending source-copy citation,"NARA RG 165, Weekly Propaganda Directive Office of War Information Norway, Netherlands, Middle East #39, NAID 2149196.",PULL-010,DKT-001; DKT-005; DKT-008; DKT-004,"Apply boundary rule, document foreign-policy significance, then decide promote/hold/exclude.","","",""
SEL-041,DOC50-041,PKT-041,CHR-001,DUP-001,"",Pending review,Hold pending source-copy and duplicate proof,1942-1944,"Office of War Information, 1942-1944",Creating War Information,White House control,High,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"FDR Library via NARA Catalog, President's Secretary's File, Subject Files, Office of War Information, 1942-1944, NAID 16620603.",PULL-008,DKT-001; DKT-005; DKT-008; DKT-007,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-042,DOC50-042,PKT-042,CHR-006,DUP-006,"",Pending review,Hold pending source-copy and duplicate proof,1942-1945,Office of War Information confidential file,Creating War Information,White House control,High,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"FDR Library via NARA Catalog, President's Secretary's File, Confidential Files, Office of War Information, NAID 16609748.",PULL-008,DKT-001; DKT-005; DKT-008; DKT-007,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-043,DOC50-043,PKT-043,CHR-003,DUP-003,"",Pending review,Hold pending source-copy and duplicate proof,June 1942,"Office of War Information - Survey of Intelligence, June 1942",Creating War Information,White House control,Medium,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"FDR Library via NARA Catalog, President's Secretary's File, Subject Files, Office of War Information - Survey of Intelligence, June 1942, NAID 16620611.",PULL-008,DKT-001; DKT-005; DKT-008; DKT-007,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-044,DOC50-044,PKT-044,CHR-004,DUP-004,"",Pending review,Hold pending source-copy and duplicate proof,August 1942,"Office of War Information - Survey of Intelligence, August 1942",Creating War Information,White House control,Medium,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"FDR Library via NARA Catalog, President's Secretary's File, Subject Files, Office of War Information - Survey of Intelligence, August 1942, NAID 16620616.",PULL-008,DKT-001; DKT-005; DKT-008; DKT-007,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-045,DOC50-045,PKT-045,CHR-007,DUP-007,"",Pending review,Hold pending source-copy and duplicate proof,December 1942,"Office of War Information - Survey of Intelligence, December 1942",Creating War Information,White House control,Medium,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"FDR Library via NARA Catalog, President's Secretary's File, Subject Files, Office of War Information - Survey of Intelligence, December 1942, NAID 16620625.",PULL-008,DKT-001; DKT-005; DKT-008; DKT-007,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-046,DOC50-046,PKT-046,CHR-005,DUP-005,"",Pending review,Boundary review before promotion,"November 19, 1942","Memorandum to Philleo Nash from Leo C. Rosten, with attachment",Prewar Information Policy,Boundary memo,Medium,Needed,Unchecked,Not yet ruled,Hold until boundary and duplicate checks clear,"","","","","",Pending source-copy citation,"FDR Library via NARA Catalog, Philleo Nash Papers, Office of War Information Files, Rumors memoranda for editors and publishers, NAID 509549657.",PULL-009,DKT-001; DKT-005; DKT-008,"Apply boundary rule, document foreign-policy significance, then decide promote/hold/exclude.","","",""
SEL-047,DOC50-047,PKT-047,CHR-008,DUP-008,"",Pending review,Boundary review before promotion,October 1942-April 1943,"Letter to Warren B. Walsh from Leo C. Rosten, with attachments",Prewar Information Policy,Boundary memo,Low,Needed,Unchecked,Boundary review required,Hold until boundary and duplicate checks clear,"","","","","",Pending source-copy citation,"FDR Library via NARA Catalog, Philleo Nash Papers, Office of War Information Files, Rumors-Syracuse University Rumor Clinic, NAID 509549751.",PULL-009,DKT-001; DKT-005; DKT-008,"Apply boundary rule, document foreign-policy significance, then decide promote/hold/exclude.","","",""
SEL-048,DOC50-048,PKT-048,CHR-002,DUP-002,"",Pending review,Itemize file unit before decision,1942,Radio Reaction Reports,Hemisphere and Cultural Exchange,Reception / operations evidence,High,Needed,Unchecked,Not yet ruled,Hold until item-level duplicate check,"","","","","",Pending source-copy citation,"NARA RG 229, Office of the Coordinator of Inter-American Affairs, Department of Information, Radio Division, Radio Reaction Reports, NAID 782735.",PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,"Select item-level document from file unit, run duplicate gate, then complete source-copy packet.","","",""
