Duplicate ID,Candidate ID,Chronology ID,Priority,Duplicate Risk,Recommended Ruling,Lane,Date,Title,Repository,Record Group,Source Locator,Exact Search URL,Exact Result Count,Broad Search Query,Broad Search URL,Broad Result Count,Checked Date,Duplicate Status,Final Ruling,Compiler Notes,Audit Task,Related Pull Sheets,Related Docket,Catalog URL,Source Note
DUP-011,DOC50-030,CHR-011,High,Medium duplicate risk,Unchecked - proof required before promotion,OWI Overseas and VOA,October 1943-September 1945,Special Guidances-Moscow Cables on Directives,NARA,RG 208,NAID 4732413,https://history.state.gov/search?q=%22Special%20Guidances-Moscow%20Cables%20on%20Directives%22,0,Special Guidances-Moscow Cables Directives Office of War Information directive 1943,https://history.state.gov/search?q=Special%20Guidances-Moscow%20Cables%20Directives%20Office%20of%20War%20Information%20directive%201943,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-004,DKT-001; DKT-005; DKT-008; DKT-004,https://catalog.archives.gov/id/4732413,"Source: National Archives, RG 208, Records of the Office of War Information, Record Set of Policy Directives, Special Guidances-Moscow Cables on Directives-October 1943-September 1945, NAID 4732413."
DUP-012,DOC50-050,CHR-012,High,Medium duplicate risk,Hold until item-level duplicate check,Hemisphere and Cultural Exchange,1941-1943,Radio Division Reports and Issuances,NARA,RG 229,NAID 2102898,https://history.state.gov/search?q=%22Radio%20Division%20Reports%20and%20Issuances%22,0,Radio Division Issuances Inter-American Affairs radio 1941,https://history.state.gov/search?q=Radio%20Division%20Issuances%20Inter-American%20Affairs%20radio%201941,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,https://catalog.archives.gov/id/2102898,"Source: National Archives, RG 229, Records of the Office of the Coordinator of Inter-American Affairs, Department of Information, Radio Division, Reports and Issuances, NAID 2102898."
DUP-013,DOC50-032,CHR-013,Medium,Medium duplicate risk,Unchecked - proof required before promotion,OWI Overseas and VOA,January-December 1944,Political Warfare Executive Central Directives,NARA,RG 208,NAID 4732424,https://history.state.gov/search?q=%22Political%20Warfare%20Executive%20Central%20Directives%22%20%221944%22,0,Political Warfare Executive Central Directives Office of War Information directive 1944,https://history.state.gov/search?q=Political%20Warfare%20Executive%20Central%20Directives%20Office%20of%20War%20Information%20directive%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-004,DKT-001; DKT-005; DKT-008; DKT-004,https://catalog.archives.gov/id/4732424,"Source: National Archives, RG 208, Records of the Office of War Information, Record Set of Policy Directives, Political Warfare Executive Central Directives-January-December 1944, NAID 4732424."
DUP-014,DOC50-038,CHR-014,Medium,Boundary duplicate risk,Hold until boundary and duplicate checks clear,OWI Overseas and VOA,1944-1945,Weekly Propaganda Directive Office of War Information Sweden,NARA,RG 165,NAID 2149198,https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%20Office%20of%20War%20Information%20Sweden%22,0,Weekly Propaganda Sweden Office of War Information propaganda directive 1944,https://history.state.gov/search?q=Weekly%20Propaganda%20Sweden%20Office%20of%20War%20Information%20propaganda%20directive%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-010,DKT-001; DKT-005; DKT-008; DKT-004,https://catalog.archives.gov/id/2149198,"Source: National Archives, RG 165, Records of the War Department General and Special Staffs, Weekly Propaganda Directive Office of War Information Sweden, NAID 2149198."
DUP-015,DOC50-039,CHR-015,Medium,Boundary duplicate risk,Hold until boundary and duplicate checks clear,OWI Overseas and VOA,1944-1945,Weekly Propaganda Directive Office of War Information Iberia,NARA,RG 165,NAID 2149195,https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%20Office%20of%20War%20Information%20Iberia%22,0,Weekly Propaganda Iberia Office of War Information propaganda directive 1944,https://history.state.gov/search?q=Weekly%20Propaganda%20Iberia%20Office%20of%20War%20Information%20propaganda%20directive%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-010,DKT-001; DKT-005; DKT-008; DKT-004,https://catalog.archives.gov/id/2149195,"Source: National Archives, RG 165, Records of the War Department General and Special Staffs, Weekly Propaganda Directive Office of War Information Iberia, NAID 2149195."
DUP-016,DOC50-040,CHR-016,Medium,Boundary duplicate risk,Hold until boundary and duplicate checks clear,OWI Overseas and VOA,1944-1945,"Weekly Propaganda Directive Office of War Information Norway, Netherlands, Middle East",NARA,RG 165,NAID 2149196,https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%20Office%20of%20War%20Information%20Norway%20Netherlands%20Middle%20East%22,0,Weekly Propaganda Norway Netherlands Middle East Office of War Information propaganda directive 1944,https://history.state.gov/search?q=Weekly%20Propaganda%20Norway%20Netherlands%20Middle%20East%20Office%20of%20War%20Information%20propaganda%20directive%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-010,DKT-001; DKT-005; DKT-008; DKT-004,https://catalog.archives.gov/id/2149196,"Source: National Archives, RG 165, Records of the War Department General and Special Staffs, Weekly Propaganda Directive Office of War Information Norway, Netherlands, Middle East #39, NAID 2149196."
DUP-017,DOC50-033,CHR-017,High,Medium duplicate risk,Unchecked - proof required before promotion,OWI Overseas and VOA,May-June 1944,Central Directives-May-June 1944,NARA,RG 208,NAID 4732319,https://history.state.gov/search?q=%22Central%20Directives-May-June%201944%22%20OWI,0,Central Directives-May-June 1944 Office of War Information directive 1944,https://history.state.gov/search?q=Central%20Directives-May-June%201944%20Office%20of%20War%20Information%20directive%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-004,DKT-001; DKT-005; DKT-008; DKT-004,https://catalog.archives.gov/id/4732319,"Source: National Archives, RG 208, Records of the Office of War Information, Record Set of Policy Directives, Central Directives-May-June 1944, NAID 4732319."
DUP-018,DOC50-036,CHR-018,High,Boundary duplicate risk,Hold until boundary and duplicate checks clear,OWI Overseas and VOA,"June 30, 1944",Weekly Propaganda Directive Office of War Information Germany,NARA,RG 165,NAID 2149194,https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%20Office%20of%20War%20Information%20Germany%22,0,Weekly Propaganda Germany Office of War Information propaganda directive 1944,https://history.state.gov/search?q=Weekly%20Propaganda%20Germany%20Office%20of%20War%20Information%20propaganda%20directive%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-010,DKT-001; DKT-005; DKT-008; DKT-004,https://catalog.archives.gov/id/2149194,"Source: National Archives, RG 165, Records of the War Department General and Special Staffs, Weekly Propaganda Directive Office of War Information Germany June 30, 1944, NAID 2149194."
DUP-019,DOC50-029,CHR-019,High,Medium duplicate risk,Unchecked - proof required before promotion,OWI Overseas and VOA,July 1944-February 1945,Special Guidances-London Policy Directives,NARA,RG 208,NAID 4732414,https://history.state.gov/search?q=%22Special%20Guidances-London%20Policy%20Directives%22,0,Special Guidances-London Policy Directives Office of War Information directive 1944,https://history.state.gov/search?q=Special%20Guidances-London%20Policy%20Directives%20Office%20of%20War%20Information%20directive%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-004,DKT-001; DKT-005; DKT-008; DKT-004,https://catalog.archives.gov/id/4732414,"Source: National Archives, RG 208, Records of the Office of War Information, Record Set of Policy Directives, Special Guidances-London Policy Directives-July 1944-February 1945, NAID 4732414."
DUP-020,DOC50-010,CHR-020,High,Medium duplicate risk,Unchecked - proof required before promotion,OWI Overseas and VOA,"July 8, 1944",The Iceland Outpost: Analysis of an Informational Operation,NARA,RG 59,"103.9166/7-844; M973 roll 607, image 0500",https://history.state.gov/search?q=%22The%20Iceland%20Outpost%22,0,Iceland Outpost Analysis Informational Operation OWI State 1944,https://history.state.gov/search?q=Iceland%20Outpost%20Analysis%20Informational%20Operation%20OWI%20State%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,https://catalog.archives.gov/id/88176221,"Source: National Archives, RG 59, Central Decimal File 1940-1944, 103.9166/7-844."
DUP-021,DOC50-011,CHR-021,Medium,Medium duplicate risk,Unchecked - proof required before promotion,OWI Overseas and VOA,"July 9, 1944",Switzerland telegram carrying OWI message on prewar Bern-Rome communications,NARA,RG 59,"103.9166/7-944; M973 roll 607, image 0500",https://history.state.gov/search?q=%22Bern-Rome%20communications%22%20OWI,0,Switzerland telegram carrying message prewar Bern-Rome communications OWI State 1944,https://history.state.gov/search?q=Switzerland%20telegram%20carrying%20message%20prewar%20Bern-Rome%20communications%20OWI%20State%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,https://catalog.archives.gov/id/88176221,"Source: National Archives, RG 59, Central Decimal File 1940-1944, 103.9166/7-944."
DUP-022,DOC50-009,CHR-022,Medium,Medium duplicate risk,Unchecked - proof required before promotion,OWI Overseas and VOA,"July 10, 1944",Dakar telegram to Motion Picture Radio Division advising United Newsreel 108 arrived,NARA,RG 59,"103.9166/7-1044; M973 roll 607, image 0500",https://history.state.gov/search?q=%22United%20Newsreel%20108%22,0,Dakar telegram Motion Picture Radio Division advising OWI State 1944,https://history.state.gov/search?q=Dakar%20telegram%20Motion%20Picture%20Radio%20Division%20advising%20OWI%20State%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,https://catalog.archives.gov/id/88176221,"Source: National Archives, RG 59, Central Decimal File 1940-1944, 103.9166/7-1044."
DUP-023,DOC50-012,CHR-023,High,Medium duplicate risk,Unchecked - proof required before promotion,OWI Overseas and VOA,"August 8, 1944",Manchester dispatch enclosing notices on the OWI Information Center Unit,NARA,RG 59,"103.9166/8-844; M973 roll 607, image 0550",https://history.state.gov/search?q=%22Information%20Center%20Unit%22%20Manchester%20OWI,0,Manchester dispatch enclosing notices Center Unit OWI State 1944,https://history.state.gov/search?q=Manchester%20dispatch%20enclosing%20notices%20Center%20Unit%20OWI%20State%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,https://catalog.archives.gov/id/88176221,"Source: National Archives, RG 59, Central Decimal File 1940-1944, 103.9166/8-844."
DUP-024,DOC50-013,CHR-024,Medium,Medium duplicate risk,Unchecked - proof required before promotion,OWI Overseas and VOA,"August 8, 1944","Manchester Press Attache report for the week ending August 5, 1944",NARA,RG 59,"103.9166/8-844; M973 roll 607, image 0550",https://history.state.gov/search?q=%22Manchester%20Press%20Attache%22%20%22August%205%2C%201944%22,0,Manchester Press Attache week ending August 1944 OWI State 1944,https://history.state.gov/search?q=Manchester%20Press%20Attache%20week%20ending%20August%201944%20OWI%20State%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,https://catalog.archives.gov/id/88176221,"Source: National Archives, RG 59, Central Decimal File 1940-1944, 103.9166/8-844."
DUP-025,DOC50-034,CHR-025,Medium,Medium duplicate risk,Unchecked - proof required before promotion,OWI Overseas and VOA,September 1944,Regional Directives-September 1944,NARA,RG 208,NAID 4732351,https://history.state.gov/search?q=%22Regional%20Directives-September%201944%22%20OWI,0,Regional Directives-September 1944 Office of War Information directive 1944,https://history.state.gov/search?q=Regional%20Directives-September%201944%20Office%20of%20War%20Information%20directive%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-004,DKT-001; DKT-005; DKT-008; DKT-004,https://catalog.archives.gov/id/4732351,"Source: National Archives, RG 208, Records of the Office of War Information, Record Set of Policy Directives, Regional Directives-September 1944, NAID 4732351."
DUP-026,DOC50-014,CHR-026,Critical,High duplicate risk,Unchecked - proof required before promotion,OWI Overseas and VOA,"September 2, 1944",Naples telegram on the present state of OWI thinking with regard to Balkan affairs,NARA,RG 59,"103.9166/9-244; M973 roll 607, image 0600",https://history.state.gov/search?q=%22OWI%27s%20thinking%22%20%22Balkan%20affairs%22,0,Naples telegram present state thinking regard Balkan OWI State 1944,https://history.state.gov/search?q=Naples%20telegram%20present%20state%20thinking%20regard%20Balkan%20OWI%20State%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,https://catalog.archives.gov/id/88176221,"Source: National Archives, RG 59, Central Decimal File 1940-1944, 103.9166/9-244."
DUP-027,DOC50-015,CHR-027,Critical,High duplicate risk,Unchecked - proof required before promotion,OWI Overseas and VOA,"September 2, 1944",Switzerland telegram submitting suggestions for Allied propaganda for Italy,NARA,RG 59,"103.9166/9-244; M973 roll 607, image 0600",https://history.state.gov/search?q=%22suggestions%20for%20allied%20propaganda%20for%20Italy%22,0,Switzerland telegram submitting suggestions Allied propaganda Italy OWI State 1944,https://history.state.gov/search?q=Switzerland%20telegram%20submitting%20suggestions%20Allied%20propaganda%20Italy%20OWI%20State%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,https://catalog.archives.gov/id/88176221,"Source: National Archives, RG 59, Central Decimal File 1940-1944, 103.9166/9-244."
