Assembly ID,Working Document Slot,Final FRUS Number,Chapter Number,Chapter Title,Chapter Slot,Section Heading,Candidate ID,Chronology ID,Decision ID,Packet ID,Duplicate ID,Citation ID,Sort Key,Display Date,Title,Lane,Editorial Role,Assembly Function,Priority,Assembly Recommendation,Placement Rationale,Selection Gate,Source Copy Gate,Duplicate Gate,Citation Gate,Authority Gate,Evidence Gate,Boundary Gate,Gate Summary,Draft Headnote Or Annotation Task,Related Pull Sheets,Related Docket,Source Locator,Catalog URL,FRUS Search URL,Source Note,Next Assembly Action,Compiler Owner,Assembly Review Date,Notes
ASM-011,WDS-011,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S02,OWI policy coordination and Allied directive crosswalks,DOC50-030,CHR-011,SEL-030,PKT-030,DUP-011,CITE-011,1943-10-01,October 1943-September 1945,Special Guidances-Moscow Cables on Directives,OWI Overseas and VOA,Policy coordination,Coordination bridge document,High,Hold pending source-copy and duplicate proof,"Use to show interagency coordination, Allied crosswalks, or boundary relationships that explain how public diplomacy was governed.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Draft a short annotation that ties the record to policy, implementation, reaction, source-copy, duplicate, citation, and authority gates.",PULL-004,DKT-001; DKT-005; DKT-008; DKT-004,NAID 4732413,https://catalog.archives.gov/id/4732413,https://history.state.gov/search?q=%22Special%20Guidances-Moscow%20Cables%20on%20Directives%22,"NARA RG 208, Record Set of Policy Directives, Special Guidances-Moscow Cables on Directives-October 1943-September 1945, NAID 4732413.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-012,WDS-012,Unassigned pending final selection,4,Hemisphere Information and Cultural Exchange,CH4-S02,OIAA radio reaction and operating evidence,DOC50-050,CHR-012,SEL-050,PKT-050,DUP-012,CITE-012,1943-12-31,1941-1943,Radio Division Reports and Issuances,Hemisphere and Cultural Exchange,Reception / operations evidence,Reception / operations evidence,High,Itemize file unit before decision,"Use as supporting evidence for reception, monitoring, or operational performance after pairing with a policy document.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,Explain how reception or operations evidence corroborates a policy or implementation document.,PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,NAID 2102898,https://catalog.archives.gov/id/2102898,https://history.state.gov/search?q=%22Radio%20Division%20Reports%20and%20Issuances%22,"NARA RG 229, Office of the Coordinator of Inter-American Affairs, Department of Information, Radio Division, Reports and Issuances, NAID 2102898.","Itemize the file unit and pair radio operation or reaction evidence with RG 59/RG 84 State documentation. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-013,WDS-013,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S03,OWI policy coordination and Allied directive crosswalks,DOC50-032,CHR-013,SEL-032,PKT-032,DUP-013,CITE-013,1944-01-01,January-December 1944,Political Warfare Executive Central Directives,OWI Overseas and VOA,Policy coordination,Coordination bridge document,Medium,Hold pending source-copy and duplicate proof,"Use to show interagency coordination, Allied crosswalks, or boundary relationships that explain how public diplomacy was governed.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Draft a short annotation that ties the record to policy, implementation, reaction, source-copy, duplicate, citation, and authority gates.",PULL-004,DKT-001; DKT-005; DKT-008; DKT-004,NAID 4732424,https://catalog.archives.gov/id/4732424,https://history.state.gov/search?q=%22Political%20Warfare%20Executive%20Central%20Directives%22%20%221944%22,"NARA RG 208, Record Set of Policy Directives, Political Warfare Executive Central Directives-January-December 1944, NAID 4732424.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-014,WDS-014,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S04,Psychological-warfare and directive boundary checks,DOC50-038,CHR-014,SEL-038,PKT-038,DUP-014,CITE-014,1944-01-01,1944-1945,Weekly Propaganda Directive Office of War Information Sweden,OWI Overseas and VOA,Boundary directive,Boundary or context document,Medium,Boundary review before promotion,"Use only if the source copy shows foreign-policy significance, State/White House/OWI coordination, or a direct public-diplomacy decision.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Boundary review required,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Boundary review required,"Explain why this boundary record is included, held, or excluded under public-diplomacy selection rules.",PULL-010,DKT-001; DKT-005; DKT-008; DKT-004,NAID 2149198,https://catalog.archives.gov/id/2149198,https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%20Office%20of%20War%20Information%20Sweden%22,"NARA RG 165, Weekly Propaganda Directive Office of War Information Sweden, NAID 2149198.","Apply the boundary rule: promote only if the record shows State/OWI coordination, diplomatic controversy, or public-diplomacy policy beyond tactical warfare. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-015,WDS-015,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S05,Psychological-warfare and directive boundary checks,DOC50-039,CHR-015,SEL-039,PKT-039,DUP-015,CITE-015,1944-01-01,1944-1945,Weekly Propaganda Directive Office of War Information Iberia,OWI Overseas and VOA,Boundary directive,Boundary or context document,Medium,Boundary review before promotion,"Use only if the source copy shows foreign-policy significance, State/White House/OWI coordination, or a direct public-diplomacy decision.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Boundary review required,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Boundary review required,"Explain why this boundary record is included, held, or excluded under public-diplomacy selection rules.",PULL-010,DKT-001; DKT-005; DKT-008; DKT-004,NAID 2149195,https://catalog.archives.gov/id/2149195,https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%20Office%20of%20War%20Information%20Iberia%22,"NARA RG 165, Weekly Propaganda Directive Office of War Information Iberia, NAID 2149195.","Apply the boundary rule: promote only if the record shows State/OWI coordination, diplomatic controversy, or public-diplomacy policy beyond tactical warfare. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-016,WDS-016,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S06,Psychological-warfare and directive boundary checks,DOC50-040,CHR-016,SEL-040,PKT-040,DUP-016,CITE-016,1944-01-01,1944-1945,"Weekly Propaganda Directive Office of War Information Norway, Netherlands, Middle East",OWI Overseas and VOA,Boundary directive,Boundary or context document,Medium,Boundary review before promotion,"Use only if the source copy shows foreign-policy significance, State/White House/OWI coordination, or a direct public-diplomacy decision.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Boundary review required,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Boundary review required,"Explain why this boundary record is included, held, or excluded under public-diplomacy selection rules.",PULL-010,DKT-001; DKT-005; DKT-008; DKT-004,NAID 2149196,https://catalog.archives.gov/id/2149196,https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%20Office%20of%20War%20Information%20Norway%20Netherlands%20Middle%20East%22,"NARA RG 165, Weekly Propaganda Directive Office of War Information Norway, Netherlands, Middle East #39, NAID 2149196.","Apply the boundary rule: promote only if the record shows State/OWI coordination, diplomatic controversy, or public-diplomacy policy beyond tactical warfare. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-017,WDS-017,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S07,OWI policy coordination and Allied directive crosswalks,DOC50-033,CHR-017,SEL-033,PKT-033,DUP-017,CITE-017,1944-05-01,May-June 1944,Central Directives-May-June 1944,OWI Overseas and VOA,Policy coordination,Coordination bridge document,High,Hold pending source-copy and duplicate proof,"Use to show interagency coordination, Allied crosswalks, or boundary relationships that explain how public diplomacy was governed.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Draft a short annotation that ties the record to policy, implementation, reaction, source-copy, duplicate, citation, and authority gates.",PULL-004,DKT-001; DKT-005; DKT-008; DKT-004,NAID 4732319,https://catalog.archives.gov/id/4732319,https://history.state.gov/search?q=%22Central%20Directives-May-June%201944%22%20OWI,"NARA RG 208, Record Set of Policy Directives, Central Directives-May-June 1944, NAID 4732319.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-018,WDS-018,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S08,Psychological-warfare and directive boundary checks,DOC50-036,CHR-018,SEL-036,PKT-036,DUP-018,CITE-018,1944-06-30,"June 30, 1944",Weekly Propaganda Directive Office of War Information Germany,OWI Overseas and VOA,Boundary directive,Boundary or context document,High,Boundary review before promotion,"Use only if the source copy shows foreign-policy significance, State/White House/OWI coordination, or a direct public-diplomacy decision.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Boundary review required,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Boundary review required,"Explain why this boundary record is included, held, or excluded under public-diplomacy selection rules.",PULL-010,DKT-001; DKT-005; DKT-008; DKT-004,NAID 2149194,https://catalog.archives.gov/id/2149194,https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%20Office%20of%20War%20Information%20Germany%22,"NARA RG 165, Weekly Propaganda Directive Office of War Information Germany June 30, 1944, NAID 2149194.","Apply the boundary rule: promote only if the record shows State/OWI coordination, diplomatic controversy, or public-diplomacy policy beyond tactical warfare. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-019,WDS-019,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S09,OWI policy coordination and Allied directive crosswalks,DOC50-029,CHR-019,SEL-029,PKT-029,DUP-019,CITE-019,1944-07-01,July 1944-February 1945,Special Guidances-London Policy Directives,OWI Overseas and VOA,Policy coordination,Coordination bridge document,High,Hold pending source-copy and duplicate proof,"Use to show interagency coordination, Allied crosswalks, or boundary relationships that explain how public diplomacy was governed.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Draft a short annotation that ties the record to policy, implementation, reaction, source-copy, duplicate, citation, and authority gates.",PULL-004,DKT-001; DKT-005; DKT-008; DKT-004,NAID 4732414,https://catalog.archives.gov/id/4732414,https://history.state.gov/search?q=%22Special%20Guidances-London%20Policy%20Directives%22,"NARA RG 208, Record Set of Policy Directives, Special Guidances-London Policy Directives-July 1944-February 1945, NAID 4732414.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-020,WDS-020,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S10,"Embassy, outpost, and field implementation reports",DOC50-010,CHR-020,SEL-010,PKT-010,DUP-020,CITE-020,1944-07-08,"July 8, 1944",The Iceland Outpost: Analysis of an Informational Operation,OWI Overseas and VOA,State cable / implementation,Implementation or reaction document,High,Hold pending source-copy and duplicate proof,"Use to prove that Washington guidance reached posts, outposts, media desks, or foreign audiences.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain originating post or office, Washington policy link, local implementation, foreign reaction, and why the cable belongs in a public-diplomacy FRUS volume.",PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,"103.9166/7-844; M973 roll 607, image 0500",https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22The%20Iceland%20Outpost%22,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0500.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
