Candidate ID,Priority,Candidate Status,Lane,Date,Repository,Record Group Or Collection,Source Locator,Title,Document Type,Candidate Value,Existing FRUS Exact Screen,History.state.gov Check URL,NARA Or FDR Catalog URL,Source Note,Source Copy Status,Duplicate Status,Boundary Ruling,Related Pull Sheets,Related Packet ID,Related Duplicate ID,Related Citation ID,Related Readiness ID,Next Compiler Action
DOC50-011,Medium,Candidate - not found in FRUS,OWI Overseas and VOA,"July 9, 1944",NARA,RG 59,"103.9166/7-944; M973 roll 607, image 0500",Switzerland telegram carrying OWI message on prewar Bern-Rome communications,Incoming telegram,Potential neutral-Europe communications and information-operations evidence.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Bern-Rome%20communications%22%20OWI,https://catalog.archives.gov/id/88176221,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0500.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-001; PULL-006,PKT-011,DUP-021,CITE-021,READY-037,"Open PULL-001 request row and confirm 103.9166/7-944; M973 roll 607, image 0500 is in the next archive batch."
DOC50-012,High,Candidate - not found in FRUS,OWI Overseas and VOA,"August 8, 1944",NARA,RG 59,"103.9166/8-844; M973 roll 607, image 0550",Manchester dispatch enclosing notices on the OWI Information Center Unit,Despatch or enclosure,Good post-level implementation record for an OWI information center in Britain.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Information%20Center%20Unit%22%20Manchester%20OWI,https://catalog.archives.gov/id/88176221,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0550.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-001; PULL-005,PKT-012,DUP-023,CITE-023,READY-024,"Open PULL-001 request row and confirm 103.9166/8-844; M973 roll 607, image 0550 is in the next archive batch."
DOC50-013,Medium,Candidate - not found in FRUS,OWI Overseas and VOA,"August 8, 1944",NARA,RG 59,"103.9166/8-844; M973 roll 607, image 0550","Manchester Press Attache report for the week ending August 5, 1944",Post report,Potential foreign press/public information reporting from a British post.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Manchester%20Press%20Attache%22%20%22August%205%2C%201944%22,https://catalog.archives.gov/id/88176221,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0550.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-001; PULL-005,PKT-013,DUP-024,CITE-024,READY-039,"Open PULL-001 request row and confirm 103.9166/8-844; M973 roll 607, image 0550 is in the next archive batch."
DOC50-014,Critical,Candidate - not found in FRUS,OWI Overseas and VOA,"September 2, 1944",NARA,RG 59,"103.9166/9-244; M973 roll 607, image 0600",Naples telegram on the present state of OWI thinking with regard to Balkan affairs,Incoming telegram,"High-value evidence connecting field reporting, regional policy, and OWI strategy.",No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22OWI%27s%20thinking%22%20%22Balkan%20affairs%22,https://catalog.archives.gov/id/88176221,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0600.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-001,PKT-014,DUP-026,CITE-026,READY-004,"Open PULL-001 request row and confirm 103.9166/9-244; M973 roll 607, image 0600 is in the next archive batch."
DOC50-015,Critical,Candidate - not found in FRUS,OWI Overseas and VOA,"September 2, 1944",NARA,RG 59,"103.9166/9-244; M973 roll 607, image 0600",Switzerland telegram submitting suggestions for Allied propaganda for Italy,Incoming telegram,Direct evidence of neutral-post input into Allied propaganda strategy.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22suggestions%20for%20allied%20propaganda%20for%20Italy%22,https://catalog.archives.gov/id/88176221,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0600.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-001; PULL-006,PKT-015,DUP-027,CITE-027,READY-005,"Open PULL-001 request row and confirm 103.9166/9-244; M973 roll 607, image 0600 is in the next archive batch."
DOC50-016,High,Candidate - not found in FRUS,OWI Overseas and VOA,"September 2, 1944",NARA,RG 59,"103.9166/9-244; M973 roll 607, image 0600",Suva telegram summarizing a Central Directive from OWI,Incoming telegram,Useful Pacific post evidence for how OWI central directives reached field posts.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Summary%20of%20Central%20Directive%20from%20OWI%22,https://catalog.archives.gov/id/88176221,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0600.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-001,PKT-016,DUP-028,CITE-028,READY-025,"Open PULL-001 request row and confirm 103.9166/9-244; M973 roll 607, image 0600 is in the next archive batch."
DOC50-017,High,Candidate - not found in FRUS,OWI Overseas and VOA,"October 31, 1944",NARA,RG 59,"103.9166/10-3144; M973 roll 607, image 0700",Las Palmas report on Legation activities for OWI and American programs broadcast in September,Post report,Strong neutral/post implementation evidence for broadcasts and legation support.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22American%20programs%20broadcast%22%20%22Las%20Palmas%22,https://catalog.archives.gov/id/88176221,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0700.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-001; PULL-006,PKT-017,DUP-036,CITE-036,READY-026,"Open PULL-001 request row and confirm 103.9166/10-3144; M973 roll 607, image 0700 is in the next archive batch."
DOC50-018,Medium,Candidate - not found in FRUS,OWI Overseas and VOA,"December 6, 1944",NARA,RG 59,"103.9166/12-644; M973 roll 607, image 0750","New Zealand report on informational activities on behalf of OWI, September-October 1944",Post report,Provides Pacific implementation evidence and supporting newspaper-clipping material.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22informational%20activities%22%20%22Office%20of%20War%20Information%22%20%22New%20Zealand%22,https://catalog.archives.gov/id/88176221,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0750.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-001,PKT-018,DUP-041,CITE-041,READY-040,"Open PULL-001 request row and confirm 103.9166/12-644; M973 roll 607, image 0750 is in the next archive batch."
DOC50-019,Critical,Candidate - not found in FRUS,OWI Overseas and VOA,May 1943,NARA,RG 208,NAID 6851138,Weekly Propaganda Directive: Poland,Policy directive,Digitized OWI policy-directive item that can anchor the treatment of Poland and exile/occupied audiences.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%3A%20Poland%22,https://catalog.archives.gov/id/6851138,"NARA RG 208, Records of the Office of War Information, Record Set of Policy Directives, Regional Directives-May 1943, NAID 6851138.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-003,PKT-019,DUP-009,CITE-009,READY-001,Open PULL-003 request row and confirm NAID 6851138 is in the next archive batch.
DOC50-020,Critical,Candidate - not found in FRUS,Peace Aims and Handoff,"April 26, 1945",NARA,RG 208,NAID 4732380,Basic Policy Directive for Information in Germany,Policy directive,Core postwar-transition directive for information policy in defeated Germany.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Basic%20Policy%20Directive%20for%20Information%20in%20Germany%22,https://catalog.archives.gov/id/4732380,"NARA RG 208, Record Set of Policy Directives, Basic Policy Directive for Information in Germany-April 26, 1945, NAID 4732380.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-003,PKT-020,DUP-048,CITE-048,READY-002,Open PULL-003 request row and confirm NAID 4732380 is in the next archive batch.
DOC50-021,Critical,Candidate - not found in FRUS,Peace Aims and Handoff,"May 29, 1945",NARA,RG 208,NAID 4732379,Directive on Basic Themes for Output to Germany,Policy directive,Names the themes OWI output was to carry into Germany after surrender.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Directive%20on%20Basic%20Themes%20for%20Output%20to%20Germany%22,https://catalog.archives.gov/id/4732379,"NARA RG 208, Record Set of Policy Directives, Directive on Basic Themes for Output to Germany-May 29, 1945, NAID 4732379.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-003,PKT-021,DUP-049,CITE-049,READY-003,Open PULL-003 request row and confirm NAID 4732379 is in the next archive batch.
DOC50-022,High,Candidate - not found in FRUS,OWI Overseas and VOA,"December 5, 1944",NARA,RG 208,NAID 4732381,Long Range Directive for Germany,Policy directive,"Pre-surrender Germany directive, useful for comparing wartime themes to 1945 occupation information policy.",No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Long%20Range%20Directive%20for%20Germany%22%20%221944%22,https://catalog.archives.gov/id/4732381,"NARA RG 208, Record Set of Policy Directives, Extra Copies of Long Range Directive for Germany-December 5, 1944, NAID 4732381.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-003,PKT-022,DUP-040,CITE-040,READY-009,Open PULL-003 request row and confirm NAID 4732381 is in the next archive batch.
DOC50-023,High,Candidate - not found in FRUS,Peace Aims and Handoff,"April 18, 1945",NARA,RG 208,NAID 4732378,Long-Range Directive-France,Policy directive,"Helps connect liberation, French public opinion, and the transition from wartime to postwar information work.",No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Long-Range%20Directive-France%22,https://catalog.archives.gov/id/4732378,"NARA RG 208, Record Set of Policy Directives, Long-Range Directive-France-April 18, 1945, NAID 4732378.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-003,PKT-023,DUP-047,CITE-047,READY-013,Open PULL-003 request row and confirm NAID 4732378 is in the next archive batch.
DOC50-024,High,Candidate - not found in FRUS,Peace Aims and Handoff,"April 12, 1945",NARA,RG 208,NAID 4732367,Long-Range Policy Directive-Austria,Policy directive,Captures end-of-war information policy toward Austria before occupation settlement material takes over.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Long-Range%20Policy%20Directive-Austria%22,https://catalog.archives.gov/id/4732367,"NARA RG 208, Record Set of Policy Directives, Long-Range Policy Directive-Austria-April 12, 1945, NAID 4732367.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-003,PKT-024,DUP-046,CITE-046,READY-012,Open PULL-003 request row and confirm NAID 4732367 is in the next archive batch.
DOC50-025,High,Candidate - not found in FRUS,Peace Aims and Handoff,"February 23, 1945",NARA,RG 208,NAID 4732395,Long-Range Policy Guidance-Poland,Policy guidance,"Potentially essential for Polish exile, Soviet, and Allied public-line tensions.",No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Long-Range%20Policy%20Guidance-Poland%22,https://catalog.archives.gov/id/4732395,"NARA RG 208, Record Set of Policy Directives, Long-Range Policy Guidance-Poland-February 23, 1945, NAID 4732395.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-003,PKT-025,DUP-045,CITE-045,READY-011,Open PULL-003 request row and confirm NAID 4732395 is in the next archive batch.
DOC50-026,High,Candidate - not found in FRUS,OWI Overseas and VOA,"October 28, 1944",NARA,RG 208,NAID 4732375,Long-Range Directive for Czechoslovakia,Policy directive,Adds Central European audience planning to the volume's liberation and exile-government lanes.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Long-Range%20Directive%20for%20Czechoslovakia%22,https://catalog.archives.gov/id/4732375,"NARA RG 208, Record Set of Policy Directives, Long-Range Directive for Czechoslovakia-October 28, 1944, NAID 4732375.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-003,PKT-026,DUP-035,CITE-035,READY-008,Open PULL-003 request row and confirm NAID 4732375 is in the next archive batch.
DOC50-027,High,Candidate - not found in FRUS,OWI Overseas and VOA,"December 6, 1944",NARA,RG 208,NAID 4732402,Long-Range Guidance-Switzerland,Policy guidance,"Neutral-country guidance for Switzerland, useful beside Bern post reporting and RG 59 103.9166 traffic.",No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Long-Range%20Guidance-Switzerland%22,https://catalog.archives.gov/id/4732402,"NARA RG 208, Record Set of Policy Directives, Long-Range Guidance-Switzerland-December 6, 1944, NAID 4732402.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-003; PULL-006,PKT-027,DUP-042,CITE-042,READY-010,Open PULL-003 request row and confirm NAID 4732402 is in the next archive batch.
DOC50-028,Medium,Candidate - not found in FRUS,OWI Overseas and VOA,"November 20, 1944",NARA,RG 208,NAID 4732392,Netherlands Long Range Directive,Policy directive,Adds Dutch occupied/liberated-audience guidance to the Europe coverage matrix.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Netherlands%20Long%20Range%20Directive%22,https://catalog.archives.gov/id/4732392,"NARA RG 208, Record Set of Policy Directives, Extra Copies of Netherlands Long Range Directive-November 20, 1944, NAID 4732392.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-003,PKT-028,DUP-038,CITE-038,READY-021,Open PULL-003 request row and confirm NAID 4732392 is in the next archive batch.
DOC50-029,High,Candidate - not found in FRUS,OWI Overseas and VOA,July 1944-February 1945,NARA,RG 208,NAID 4732414,Special Guidances-London Policy Directives,Policy directive file,Connects Washington and London information policy; high value when paired with RG 84 London post files.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Special%20Guidances-London%20Policy%20Directives%22,https://catalog.archives.gov/id/4732414,"NARA RG 208, Record Set of Policy Directives, Special Guidances-London Policy Directives-July 1944-February 1945, NAID 4732414.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-004; PULL-005,PKT-029,DUP-019,CITE-019,READY-017,Open PULL-004 request row and confirm NAID 4732414 is in the next archive batch.
DOC50-030,High,Candidate - not found in FRUS,OWI Overseas and VOA,October 1943-September 1945,NARA,RG 208,NAID 4732413,Special Guidances-Moscow Cables on Directives,Cable/directive file,Rare bridge between OWI directives and Moscow cable traffic; useful for Soviet/Eastern Europe public-line tensions.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Special%20Guidances-Moscow%20Cables%20on%20Directives%22,https://catalog.archives.gov/id/4732413,"NARA RG 208, Record Set of Policy Directives, Special Guidances-Moscow Cables on Directives-October 1943-September 1945, NAID 4732413.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-004,PKT-030,DUP-011,CITE-011,READY-015,Open PULL-004 request row and confirm NAID 4732413 is in the next archive batch.
DOC50-031,High,Candidate - not found in FRUS,Creating War Information,September 1943-June 1944,NARA,RG 208,NAID 4732416,OWI-OSS Relations,Policy relationship file,Boundary-control document set for distinguishing public diplomacy from intelligence and psychological warfare.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22OWI-OSS%20Relations%22,https://catalog.archives.gov/id/4732416,"NARA RG 208, Record Set of Policy Directives, OWI-OSS Relations-September 1943-June 1944, NAID 4732416.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-004,PKT-031,DUP-010,CITE-010,READY-014,Open PULL-004 request row and confirm NAID 4732416 is in the next archive batch.
DOC50-032,Medium,Candidate - not found in FRUS,OWI Overseas and VOA,January-December 1944,NARA,RG 208,NAID 4732424,Political Warfare Executive Central Directives,Allied directive file,Useful for comparing OWI directives with British Political Warfare Executive guidance.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Political%20Warfare%20Executive%20Central%20Directives%22%20%221944%22,https://catalog.archives.gov/id/4732424,"NARA RG 208, Record Set of Policy Directives, Political Warfare Executive Central Directives-January-December 1944, NAID 4732424.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-004; PULL-005,PKT-032,DUP-013,CITE-013,READY-035,Open PULL-004 request row and confirm NAID 4732424 is in the next archive batch.
DOC50-033,High,Candidate - not found in FRUS,OWI Overseas and VOA,May-June 1944,NARA,RG 208,NAID 4732319,Central Directives-May-June 1944,Central directive file,Likely contains central OWI guidance around D-Day and liberation messaging.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Central%20Directives-May-June%201944%22%20OWI,https://catalog.archives.gov/id/4732319,"NARA RG 208, Record Set of Policy Directives, Central Directives-May-June 1944, NAID 4732319.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-004,PKT-033,DUP-017,CITE-017,READY-016,Open PULL-004 request row and confirm NAID 4732319 is in the next archive batch.
DOC50-034,Medium,Candidate - not found in FRUS,OWI Overseas and VOA,September 1944,NARA,RG 208,NAID 4732351,Regional Directives-September 1944,Regional directive file,"Can be paired with September RG 59 post traffic on Balkans, Italy, and shortwave schedule changes.",No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Regional%20Directives-September%201944%22%20OWI,https://catalog.archives.gov/id/4732351,"NARA RG 208, Record Set of Policy Directives, Regional Directives-September 1944, NAID 4732351.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-004,PKT-034,DUP-025,CITE-025,READY-036,Open PULL-004 request row and confirm NAID 4732351 is in the next archive batch.
DOC50-035,Medium,Candidate - not found in FRUS,OWI Overseas and VOA,"January 30, 1945",NARA,RG 208,NAID 4732400,Long-Range Policy Directive for Thailand,Policy directive,Adds Southeast Asia coverage and a Pacific-facing long-range public-diplomacy directive.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Long-Range%20Policy%20Directive%20for%20Thailand%22,https://catalog.archives.gov/id/4732400,"NARA RG 208, Record Set of Policy Directives, Long-Range Policy Directive for Thailand-January 30, 1945, NAID 4732400.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-003,PKT-035,DUP-044,CITE-044,READY-022,Open PULL-003 request row and confirm NAID 4732400 is in the next archive batch.
DOC50-036,High,Candidate - boundary check,OWI Overseas and VOA,"June 30, 1944",NARA,RG 165,NAID 2149194,Weekly Propaganda Directive Office of War Information Germany,Weekly propaganda directive,Potentially strong if it documents OWI-State-War coordination on Germany messaging.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%20Office%20of%20War%20Information%20Germany%22,https://catalog.archives.gov/id/2149194,"NARA RG 165, Weekly Propaganda Directive Office of War Information Germany June 30, 1944, NAID 2149194.",Needed,Unchecked,Hold until boundary and duplicate checks clear,PULL-010,PKT-036,DUP-018,CITE-018,READY-044,Open PULL-010 request row and confirm NAID 2149194 is in the next archive batch.
